12:21 AM - 10 Dec 2015|Salman Khan accomplished driver He took whole judicial system ride|1K|505
4:21 AM - 9 Dec 2015|Pls pls RT Let's clean Chennai Inside Gandhi Mandapam tomorrow 7am association w @reslientchennai Corporation https twitter com spotfixchennai status 674558816726323200|46|10
2:37 AM - 9 Dec 2015|How people said goodbye Ramayana See ya K Ram ram|18|13
2:16 AM - 9 Dec 2015|Sweeping thru chennai's orphanages badly need volunteers please pick rows near ur pincode call help https docs google com spreadsheets d 1f8l3qh-_wQSTys-StANZUubrF4q9ebTXuhk1zhIlcNU edit#gid 1008871942 Pls RT|50|11
7:44 PM - 8 Dec 2015|Super grateful contribute new clothes napkins odomos camp Grand Mall Velachery #chennaifloods #chennaimicro|72|27
6:38 PM - 17 Nov 2015|England kidney bank But Liverpool|664|1.2K
6:34 PM - 7 Dec 2015|Gotta love Brits #Trump https twitter com ninatypewriter status 674038927221739522|3|5
6:08 PM - 7 Dec 2015|In seriousness see still genuine Trump supporters start understand whole Holocaust thing started|124|347
5:44 PM - 7 Dec 2015|I promised I'd stop quoting Beatles But yesterday When troubles seemed far away|760|1.1K
2:56 AM - 7 Dec 2015|Tragedies bring people together also take far away|15|8
3:28 AM - 7 Dec 2015|Here rumour roundup Let us know ridiculous rumours added http bit ly CRR-Rumour-Mill #ChennaiRainsHelp|18|3
1:39 AM - 7 Dec 2015|Free books school college students lost #ChennaiFloods Details pic Please RT pic twitter com m5mxzQvhhF|187|79
7:02 PM - 6 Dec 2015|Rule should've office even days holiday odd days|116|100
7:17 PM - 6 Dec 2015|#AreaUpdates 8 45 AM #Kathipara flyover clear till Olympia #guindy https twitter com accidentlwriter status 673701883614072832|24|6
5:32 PM - 6 Dec 2015|#Chennai Airport become fully operational morning pic twitter com LPorY0f9hN|108|71
4:26 AM - 5 Dec 2015|#ChennaiFloods Live Get Rs 5 000 cash swiping debit credit card HDFC POS terminals set across city http dnai d3Mc|16|6
3:21 AM - 5 Dec 2015|Dr M Nair Rajeevan appointed secretary ministry earth sciences He dir Indian institute tropical meteorology Pune @the_hindu|8|17
4:28 AM - 5 Dec 2015|VERIFIED INFO Volunteers field get free tetanus shots courtesy @Drgbala ChennaiCares Nurses http fb 2wVctJeFl|31|5
2:19 AM - 5 Dec 2015|WHAT THE FUCK WHAT THE FUCK UGGGGGHHHHHH pic twitter com fpgn5Tfk9L|203|44
2:32 AM - 5 Dec 2015|Tough decisions breakfast morning Literaturhauscaf @jk_rowling Mark Twain pic twitter com o1QxHcTtCr|357|1.9K
7:53 PM - 3 Dec 2015|To look particular area's status e g Purasaiwalkam use format Twitter's search field @chennairainsorg #Purasaiwalkam|242|68
2:34 AM - 5 Dec 2015|This number wrong Please contact Anand 9840072266 #ChennaiRainsHelp @ChennaiRainsOrg https twitter com Sibi_Sathyaraj status 673081967013793792|8|0
8:32 PM - 4 Dec 2015|Use hashtag #ChennaiMicro verified supplies info Volunteers tracking hashtag Please share contact Post responsibly|880|590
2:24 AM - 5 Dec 2015|NEED A DOCTOR Send whatsapp 12022411942 complaint U get call back confirmed Please considerate use @AidOffered|191|49
8:31 AM - 30 Nov 2015|Addressing climate change takes us especially private sector going all-in clean energy worldwide https twitter com billgates status 671325937749872640|3.8K|7.2K
4:07 AM - 4 Dec 2015|Specially designed citizens Delhi HERE IS THE FLEXI-NUMBER PLATE Sits back waits funding pic twitter com KcAhcRDmXc|941|567
1:54 AM - 5 Dec 2015|Postal colony streets 2nd 1st water logged Use Mahadevan st murthy st To get side #westmambalam|7|3
12:50 AM - 5 Dec 2015|INS SHAKTI carrying 100 tonnes relief material 700 tonnes water Chennai Port @ibnlive pic twitter com SU3dlPOyHV|64|43
1:27 AM - 22 Nov 2015|Adele disguised Adele impersonator Adele impersonators lost shit http bzfd 1NhyYzB pic twitter com W4paka0qVo|458|1.1K
