1:56 AM - 10 Dec 2015|Staying quiet doesn mean I ve nothing say It means I think re ready hear thoughts|2.6K|3.1K
8:36 PM - 7 Dec 2015|Rescued street five-week-old puppy 'Tintin' needs loving home #Delhi To adopt pls contact 8800814108 pic twitter com KDuYZWpH09|13|12
4:13 AM - 4 Dec 2015|Learn modi He travels odd number planes - Boeing 747|33|47
11:00 PM - 3 Dec 2015|RETWEET VOTE WIN #IPTL2 tickets It's #MicromaxIndianAces vs @SG_Slammers who's going win #PlayYourAces|84|37
10:55 PM - 1 Dec 2015|3 n Scholars exposed distortions introduced Leftists history pol writing come outside Sangh fold Sangh produced none|85|61
10:22 PM - 1 Dec 2015|Foolish expect BJP leaders defend India's honour can't even argue case sensibly Rajnath Singh scored many self goals|102|84
10:21 PM - 1 Dec 2015|Sheila Dikhshit gave Delhi good infrastructure civic conditions absolutely neglected 15 yrs Delhi nothing big DUSTBIN|2|3
10:09 PM - 30 Nov 2015|I amazed brave young children One lay top friends shot 13 times http www dawn com news 1223313 144stories-remembering-lives-lost-in-the-peshawar-school-attack|20|12
10:26 AM - 29 Nov 2015|@MahindraComviva winner #AGBA2015 receiving award @DrJitendraSingh Minister State @PMOIndia #mcommerce pic twitter com kGWDszVqZR|7|7
5:47 AM - 30 Nov 2015|@HImanshuGaira Read #swag https twitter com the_hindu status 671205507487563777|1|0
9:09 PM - 28 Nov 2015|Bravo @arunjaitley taking clear position decriminalizing homosexuality @PChidambaram_IN saying ban Satanic Verses wrong|135|190
10:15 PM - 28 Nov 2015|It took 20 years realize mistake banning @SalmanRushdie's Satanic Verses Guessing realize Beef ban soon 2035|58|59
10:55 AM - 29 Nov 2015|I think ever stops hurting giving somebody best watching chose someone else|1.8K|3.4K
4:31 AM - 29 Nov 2015|Do think Section 377 needs go|2|3
3:57 AM - 29 Nov 2015|Do support LGBT rights If please mention reason comments|2|2
11:52 PM - 26 Nov 2015|Facts Facts @arunjaitley @RSSorg @narendramodi @BJP4India No amount propaganda change history pic twitter com WluIEu4iwd|363|151
12:12 AM - 27 Nov 2015|Here's another one @arunjaitley @RSSorg @narendramodi @BJP4India No amount propaganda change history pic twitter com ZdqweCNwvg|346|136
12:30 AM - 27 Nov 2015|@arunjaitley @RSSorg @narendramodi @BJP4India Why BJP RSS ideologues founding supporting British Raj pic twitter com u7fu4DDV4f|239|51
10:31 AM - 26 Nov 2015|President said #AwardWapsi evidently spontaneous triggered nation-wide debate intolerance Ashok Vajpeyi http www hindustantimes com india poet-vajpeyi-prez-says-award-wapsi-spontaneous-triggered-debate story-RTYBFJBGgcFoh0ck2sv6QI html|13|10
11:53 PM - 25 Nov 2015|Patriarchy negatively affects men Islamic terrorism affects Muslims Can people wrap heads around already|7|5
11:15 PM - 23 Nov 2015|@RoflGandhi_ India-actors like Aamir Khan Anupam Kher engage political debates Prime Minister holds Bollywood style concerts|63|39
9:05 AM - 25 Nov 2015|Gender inequality isn't women's issue Feminism benefits men http www heforshe org #HeForShe #16days pic twitter com w1AWsGivQm|760|705
11:20 AM - 23 Nov 2015|Whenver Modi abroad Anupam Kher acting PM India|2.6K|1.7K
8:41 AM - 23 Nov 2015|Jon Snow died sins rose dead|3.1K|4.4K
7:31 AM - 22 Nov 2015|This Afghan girl risked life 5 years attend school dressed boy http ow ly UPXdL via @TheWorldPost|229|189
9:03 PM - 20 Nov 2015|Modi wasn't elected PM win rest India's states BJP fulfil promise growth #NationalInterest http www business-standard com article opinion shekhar-gupta-narendra-modi-candidate-to-pm-115112000969_1 html|227|199
5:35 PM - 17 Nov 2015|Rahman big-ticket events finally come Delhi govt cuts red tape rolls red carpet #DelhiGovernance pic twitter com krGwK8v1cR|439|346
9:19 AM - 18 Nov 2015|29 U S governors want block #SyrianRefugees resettling states This sentiment nothing new pic twitter com 0m0cp34i17|247|147
9:23 AM - 18 Nov 2015|@vijaygkg Panchayats underfunded KeralaMLAs get 6cr year State Govt MPs 5cr 7 MLA consituencies put together|20|49
9:10 PM - 16 Nov 2015|Rescued Argentinian Mastiff 'Stella' needs home http goo gl 3OzLSe Email guptaruchi21@gmail com #Delhi pic twitter com vPoQEnfsSG|19|6
10:16 PM - 15 Nov 2015|Science fact dog extracts information smelling pile excrement human watching Indian news channels|7|1
10:38 AM - 14 Nov 2015|@RakeshSinha01 don't know what's wrong RSS n PM want talk talk n talk one real thing|1|0
10:59 AM - 14 Nov 2015|@Ayeshaspeaksnow could never b universal interpretation Islam isn't possible problem isn't religious also political|1|0
6:15 AM - 14 Nov 2015|ISIS rewriting ancient history create artificial culture violence vengeance http cs 1Koju4G pic twitter com IpV9bTLeAk|76|53
