10:32 PM - 8 Dec 2015|Aditya chopra Rani mukherjee name daughter Adira Surname chomu|1.3K|742
3:30 PM - 7 Dec 2015|Finally trashed @realDonaldTrump Will still reserve seat Blue Origin rocket #sendDonaldtospace http bit ly 1OpyW5N|8.4K|8.2K
9:35 AM - 8 Dec 2015|AGP leader @keshab_mahanta joined twitter Let's welcome @guwahaticity|2|0
9:00 AM - 7 Dec 2015|Breaking Dropbox shutting Mailbox email app http www theverge com 2015 12 7 9862470 dropbox-shutting-down-mailbox-carousel-apps utm_campaign theverge utm_content chorus utm_medium social utm_source twitter pic twitter com WiBiIeGKdv|138|76
10:10 PM - 6 Dec 2015|Jennifer Lopez turned vegetarian recently She's known Jainifer Lopez|60|71
4:28 PM - 6 Dec 2015|January 2015 year December 2015 ok Maybe|231|188
6:13 AM - 6 Dec 2015|India second ignorant nation world Survey|159|72
7:25 AM - 5 Dec 2015|Finished 5 We failed mission Very sad sorry fans love @NEUtdFC Thanks Thanks staff players|46|93
6:38 AM - 5 Dec 2015|Railways decides charge full ticket fare children ages five 12 April 2016|63|54
2:06 AM - 5 Dec 2015|2 explosions Guwahati's Fancy Bazaar area intensity blasts known|30|12
8:35 PM - 29 Nov 2015|Thank Delhi Not single bribe paid event magnitude Never thought that'd happen Can get used|1.5K|995
6:24 AM - 3 Dec 2015|Where countries left visit pic twitter com KgXsW0qufb|358|238
6:28 AM - 2 Dec 2015|#Guwahati #Urgent Need 5 B-ve #Blood units @ Narayana Super spec Hosp Amingaon Call 9864066796 #BloodAid via @guwahaticity @tajinderbagga|13|1
8:55 AM - 2 Dec 2015|27108 fans turned witness fantastic @NEUtdFC victory More images http goo gl Chw0J0 #NEUvPUN pic twitter com LifrMqe1MK|22|51
7:31 AM - 2 Dec 2015|Latest Hari Nagar MLA Jagdeep came custody threatened Ravinder ek kaan ke niche padega know Chief Whip AAP|272|151
7:55 PM - 1 Dec 2015|The latest Batman v Superman teaser shows Clark Kent Bruce Wayne face face http www theverge com 2015 11 30 9818104 batman-v-superman-teaser-bruce-wayne-unmasked utm_campaign theverge utm_content chorus utm_medium social utm_source twitter pic twitter com kjx1pYAY4q|49|82
12:11 AM - 30 Nov 2015|Can please stop playing national anthem film screening Can Or must wear patriotism sleeve times|224|213
7:27 AM - 29 Nov 2015|odd couple pic twitter com 95y2a4sAxH|116|237
7:35 AM - 29 Nov 2015|#BREAKING Security agencies bust pan India spy racket 3 ISI agents arrested Kolkata|105|53
1:01 PM - 26 Nov 2015|How iPad Pro Giveaway Retweet tweet follow @tldtoday chance win #TLDBlackFriday pic twitter com F4Xj1w3wAU|8.6K|2.4K
12:57 PM - 28 Nov 2015|Big congratulations @vardy7 huge achievement|2.4K|4.9K
4:48 AM - 28 Nov 2015|Indira Gandhi Stadium Guwahati set host tonight's crucial #HeroISL Predict scoreline #NEUvDEL pic twitter com xHkoStdkbe|27|49
4:16 AM - 28 Nov 2015|Guys TVF presents Not Fit - India's 1st Mockumentary Web Series Dice Media Streaming Soon TVFPlay Register pic twitter com JoLaRI1wdH|70|131
10:53 PM - 25 Nov 2015|Poor refereeing football's ISL creating culture violent play http bit ly 1YvvISW pic twitter com gbTZfBns4L|1|0
8:50 AM - 21 Nov 2015|No sense logic coherence relevance argument hand https twitter com AnupamPkher status 668049063699283968|92|71
7:52 AM - 25 Nov 2015|True story Officially 1st CM bought tkt I used going Gov offices return lighter wallet https twitter com aamaadmiparty status 669539612906287108|761|599
7:42 AM - 25 Nov 2015|A scintillating game ends goal apiece teams This draw boosts #NEUFC top 4 #GOAvNEU pic twitter com INpIEmjkGu|16|31
9:07 AM - 24 Nov 2015|Last 24 hrs shown apprehensions @amirkhan spoke real Trust bhakts prove critics right #IStandwithAmirKhan|370|347
1:44 AM - 24 Nov 2015|Netflix Stream Indian Epic 'Gangs Wasseypur' Series http thr cm E6zFjB pic twitter com 5ZNWuTN0cv|332|198
2:51 AM - 25 Nov 2015|Disappointment pic twitter com cLD5E8kXh1|1.4K|2.6K
10:46 PM - 24 Nov 2015|I feel one able express bindaas Jackie Shroff #AamirRightOrWrong https amp twimg com v 01aeb1b0-0e41-4e2f-9602-06d05d70704b|310|280
2:43 AM - 25 Nov 2015|People shouting obscenities outside house proving point Aamir Khan issues statement pic twitter com pv9FpcFKeW|157|103
11:38 AM - 24 Nov 2015|People boycotting Snapdeal Aamir boycott Polio vaccine Big B says something that's offensive I guess|1|0
10:55 PM - 23 Nov 2015|I bow legendary Lachit Borphukan hero Saraighat Battle birth anniversary Nation never forget bravery patriotism|424|546
8:47 AM - 23 Nov 2015|Every word @aamir_khan said true I admire speaking|2.8K|2.7K
8:55 AM - 23 Nov 2015|Aamir Khan joins debate 'intolerance' says wife even suggested leaving India http goo gl EYgvNR pic twitter com htZNm3hQsn|147|156
4:41 AM - 22 Nov 2015|Assam governor lands controversy comment Indian Muslims http goo gl e3KzbA pic twitter com WleyStzhYr|29|29
2:56 AM - 21 Nov 2015|OTP Not yet OTP Not yet OTP Re-orient phone Not yet Time's Up Okay Thousand years later Mars OTP 678435 tears|150|265
2:24 AM - 21 Nov 2015|Do online transaction choice End 7 864 568 999 messages bank retailer website telling|80|162
11:37 PM - 20 Nov 2015|Why keep asking Smriti Irani's degrees She B A H U|234|267
2:49 AM - 19 Nov 2015|#RT agree #CharlieChaplin #Happy #Happiness pic twitter com nJ8DgQp2Pa|19|24
9:48 PM - 17 Nov 2015|@paytm #RanjiTrophy With 5 wkt win Delhi Assam elevated 2nd spot Grp A Scorecard http www bcci tv ranji-trophy-2015-16 match 73|8|6
7:38 AM - 17 Nov 2015|Lmfao pic twitter com wm6dcw5lNr|3.7K|8.7K
10:32 PM - 14 Nov 2015|Coverage #ParisAttacks No bodies No blood No irresponsible comments opposition Country United tragedy #Lessonstolearn|3.8K|3.5K
8:00 PM - 14 Nov 2015|It's #MatchDay As #NEUFC take @KBFCOfficial Guwahati boys look continue winning streak #HeroISL pic twitter com 52dqVWt1ch|35|41
