11:09 PM - 10 Dec 2015|Virender Sehwag seated flight Delhi Mumbai Now instead 2 hours it's going take 1 hour reach|113|177
1:39 AM - 10 Dec 2015|Declaring Eid today Salman khan blockbuster release|748|469
12:26 AM - 10 Dec 2015|The tragic story Syrian man whose wife 7 children drowned trying reach Greece http bbc 1QgKZpx http snpy tv 1QgLbVG|354|184
4:00 AM - 8 Dec 2015|Glaciers Mount Everest shrink 28 last 40 years due climate change http huff 1NfuWT2 pic twitter com W1Z9u6cdH8|4|4
5:58 PM - 7 Dec 2015|The periodic table country discovery elements Via @jamiebgall pic twitter com cCdT6yabgs|1.3K|2.1K
5:53 AM - 3 Dec 2015|Please visit https letzchange org projects chennai-flood-relief help people Chennai hour need pic twitter com F7vr97eZ74|61|29
12:53 PM - 4 Dec 2015|The SI unit measuring male model litre-years protein|37|131
7:01 AM - 5 Dec 2015|How I used flirt girls kid pic twitter com IPkB0I7tHE|380|747
8:07 PM - 4 Dec 2015|No one look awkward vocalist guitar solo|17|73
3:48 AM - 4 Dec 2015|Footage emerges showing life IS stronghold Raqqa Syria - @BBCLyseDoucet reports http bbc 1TFcNm3|136|91
9:15 PM - 3 Dec 2015|Baahubali cried seeing pic twitter com bai7qHf1Z6|311|180
1:00 AM - 2 Dec 2015|A @Paytm initiative #ChennaiFloods Call 18001030033 share mobile person need Will get Rs 30 talk-time free cost|1.1K|288
5:50 AM - 2 Dec 2015|Free calls seven days Chennai says BSNL #ChennaiFloods #ChennaiRainsHelp https twitter com prasarbharati status 672048665188503552|89|39
5:30 AM - 2 Dec 2015|#Chennai rides Uber today tomorrow free Demand high please keep trying please spread word|1.5K|385
5:57 AM - 2 Dec 2015|India tops @Harvard's projections average annual GDP growth rates 2023 #MakeInIndia pic twitter com zYrYLYC1t9|501|956
12:15 AM - 1 Dec 2015|#Flipkart comes brand story ad format better customer engagement http ow ly ViW6e|9|6
10:55 AM - 30 Nov 2015|Prince Charles PM Prince Charles Boss I born king But mother refusing go away Modi Er I call Rahul|244|268
6:34 AM - 30 Nov 2015|Let's outrage national anthem played theatres let's outrage popcorn sold bloody 250 bucks PVR cinemas|425|274
10:48 PM - 29 Nov 2015|When watching cricket match home alone stand national anthem plays|7|7
9:06 PM - 29 Nov 2015|ISIS Unislamic Pig Haram Islam So cartoon ISIS getting funding Piggy bank hurting sentiments Muslims #Lokmat|288|127
10:10 PM - 29 Nov 2015|My personal advice - See National Flag Salute look respectfully Hear National Anthem Stand Meet National Animal Run away|1.3K|972
