3:13 AM - 7 Dec 2015|Congrats @iamsrk 2015 Golden Tweet #YearOnTwitter India 18 million views Twitter https twitter com iamsrk status 589164454480191488|2.8K|3.7K
1:17 AM - 11 Dec 2015|@BeingSalmanKhan # _ _ #MindblowingDilwalePromo Thankyou|2|2
3:19 AM - 11 Dec 2015|Pyaar live without Pyaar joh na jeene deta hai na marne #MindblowingDilwalePromo @iamsrk pic twitter com CFMfLaUsbm|63|71
3:20 AM - 11 Dec 2015|Totally mindblowing stuff http youtu rg_aGcIl4qk #MindblowingDilwalePromo|14|4
3:25 AM - 11 Dec 2015|Really Yehi Final Master Stroke Tha Awesome STORM #MindblowingDilwalePromo|24|8
3:28 AM - 11 Dec 2015|The Best On screen Pair 3 @iamsrk Kajol #MindblowingDilwalePromo pic twitter com KOHvGMEwVw|47|35
3:59 AM - 11 Dec 2015|Brand New Still From Dilwale @iamsrk @KajolAtUN #MindBlowingDilwalePromo pic twitter com VhEz6ORgp2|50|70
4:03 AM - 11 Dec 2015|Watched Nd thn I said OMG wht type dilwale it's incredible amazing suspens new genrtn dilwale #MindblowingDilwalePromo|6|1
4:04 AM - 11 Dec 2015|#MindblowingDilwalePromo srk donated 1000 cr charity acc US based org survey|1|0
4:04 AM - 11 Dec 2015|Stills From #MindBlowingDilwalePromo pic twitter com ueQouPE4yn|4|0
4:04 AM - 11 Dec 2015|I bus wen watch dis 2nd promo conductor came told 1 dilwale @iamsrk @srkuniverse #xcellent #MindblowingDilwalePromo|2|0
4:04 AM - 11 Dec 2015|Can't wait movie #MindblowingDilwalePromo|3|1
4:05 AM - 11 Dec 2015|New stills #Dilwale #Wellpeper @iamsrk @RedChilliesEnt #MindblowingDilwalePromo http www bollywoodhungama com moviemicro images id 3351280 type view imageid 16921880 category moviestills pic twitter com LctHhrwUDQ|29|31
4:06 AM - 11 Dec 2015|Want watch realize Mb kam hai 2gb 3G gets ova fast #MindblowingDilwalePromo|2|0
11:10 PM - 10 Dec 2015|GO #GOA GOAL GO #GOA GOAL It's time shine The Gaurs ready #TheNewKings #ForcaGoa #LetsFootball pic twitter com fU9vuslXRE|30|24
8:58 PM - 10 Dec 2015|DDLJ Running 1052th Week 7 Days For Dilwale pic twitter com RxyTlP0ome|19|10
10:48 AM - 10 Dec 2015|7 Days For Dilwale|12|5
11:30 AM - 10 Dec 2015|When Shah Rukh Khan took Devoleena ride http wwv asianage com bollywood when-shah-rukh-khan-took-devoleena-ride-952 7 Days For Dilwale pic twitter com UxzLDOeD6k|133|149
11:36 AM - 10 Dec 2015|SRK ll b seen promoting Dilwale investigative series CID Pic @ Location 7 Days For Dilwale pic twitter com cbWbrdKQXv|21|21
11:54 AM - 10 Dec 2015|Snapshot Shah Rukh Khan @iamsrk snapped sets #CID Dilwale promotions 7 Days For Dilwale pic twitter com 2T5FDJMNMI|18|38
11:53 AM - 10 Dec 2015|More Pics @iamsrk sets #ComedyNightsBachao #Dilwale Promotions 7 Days For Dilwale pic twitter com ea105F0mXG|20|23
12:41 PM - 10 Dec 2015|SnapShots Shah Rukh Khanon sets #CID #Dilwale Promotion 7 Days For Dilwale pic twitter com OB1Ii7DPOT|48|70
11:59 AM - 10 Dec 2015|Full Video @iamsrk team interview @diljitdosanjh PTC Punjabi 7 Days For Dilwale https m youtube com watch feature youtu v 5jTiicNPXfo pic twitter com EIEkO7OWHt|43|74
12:54 PM - 10 Dec 2015|#Dilwale close us Just 7 Days For Dilwale Edit pic twitter com mupk55AxkC|42|39
1:58 PM - 10 Dec 2015|All us together @mid_day @iamsrk @KajolAtUN @Varun_dvn @kritisanon #Tukurtukur #Dilwale 7 Days For Dilwale pic twitter com TFHMFije8G|38|39
