11:02 AM - 23 Apr 2015|Have you voted for Write-In Tatiana Cadet yet? Todays the last day! #ReclaimYourVote
9:10 PM - 18 Apr 2015|When you think you should go out bc you're graduating in 2 weeks but the bed is too cozy. pic.twitter.com/iokROhkMZS
9:47 PM - 16 Apr 2015|Thank you to everyone who truly believed in me. <3
7:02 PM - 16 Apr 2015|Big Shoutout to the #CadetCampaign and everyone who helped make this possible. #TatiFati4SA pic.twitter.com/95kLQtcv52
6:37 PM - 16 Apr 2015|IF YOU'RE READING THIS ITS NOT TOO LATE TO VOTE FOR SA ELECTIONS. Write In Tatiana Cadet & Fatima Bangura #ReclaimYourVote!
6:36 PM - 16 Apr 2015|Friends don't let friends forget to vote for SA elections! Write-In Tatiana Cadet for SA President before its too late!
6:34 PM - 16 Apr 2015|Have you voted already? Make sure you #RelcaimYourVote before 10pm! Write In Tatiana Cadet For SA!
6:28 PM - 16 Apr 2015|Hey @alexalucina Have you voted already?
6:25 PM - 16 Apr 2015|Less than an hour before the polls close! #RECLAIMYOURVOTE! Write-In Tatiana Cadet for SA President on MySlice before its too late!
4:35 PM - 16 Apr 2015|SA Elections Ends today! Log into MySlice & Write-In Tatiana Cadet for President. Vote for a candidate that truly cares about student issues
3:19 PM - 16 Apr 2015|SENIORS! @TheLexLevel @Monologue_Mayor @lauragailcohen @WolfOfSU @noahamin_ Please vote too! We need your support! pic.twitter.com/S9WC7Y9yQl
3:15 PM - 16 Apr 2015|Have you voted? Voting closes at 10pm TONIGHT! pic.twitter.com/in49Xe0A8b
3:10 PM - 16 Apr 2015|To vote for #TatiFati4SA type Tatiana Cadet in the Write-In Candidate space and cast your vote in MySlice #ReclaimYourVote
3:04 PM - 16 Apr 2015|Did you VOTE? @taylormone__ @Lawrinson_Hall @SheTweets_1 @Goldenboy_Uri @Kate_Beckman @SONYclubSU pic.twitter.com/gKG64DuagL
3:03 PM - 16 Apr 2015|Only 4 more hours left to VOTE!!! Go to Myslice now! @EternalLegacy_ @chantalfelice @SallyPhelps @JamaicanVibe pic.twitter.com/RUi3ovfT8y
1:45 PM - 16 Apr 2015|TODAY IS THE LAST DAY! Log into MySlice and Write-In Tatiana Cadet for SA president!
11:35 AM - 16 Apr 2015|Its not too late to vote! Type in Tatiana Cadet in the Write-In candidate line and check the box to vote #TatiFati4SA #ReclaimYourVote...
10:50 AM - 16 Apr 2015|TODAY IS THE DAY! Cast your vote for the best Presidential candidate. Write in Tatiana Cadet and spread the word!
9:55 AM - 16 Apr 2015|Today is the day! Cast your vote for SA President NOW! Write-In Tatiana Cadet! #ReclaimYourVote #TatiFati4SA
7:31 AM - 16 Apr 2015|To vote for #TatiFati4SA type Tatiana Cadet in the Write-In Candidate space and cast your vote in MySlice #ReclaimYourVote
6:03 AM - 16 Apr 2015|.Its not too late to vote for #TatiFati4SA. Type Tatiana Cadet in the Write-In Candidate space and cast your vote in MySlice...
6:57 PM - 15 Apr 2015|Tatiana Cadet is a Write-In Candidate so if you want to her to serve as your president for SA, type her name on MySlice! #ReclaimYourVote
5:50 PM - 15 Apr 2015|.Its not too late to vote for #TatiFati4SA. Type Tatiana Cadet in the Write-In Candidate space and cast your vote in MySlice...
1:40 PM - 15 Apr 2015|To vote for #TatiFati4SA type Tatiana Cadet in the Write-In Candidate space and cast your vote in MySlice #ReclaimYourVote
12:06 PM - 15 Apr 2015|TatiFati is Meeting with Dean Kantrowitz now! #ReclaimYourVote with  #TatiFati4SA
11:47 AM - 15 Apr 2015|We all received it, but did you read?! Our student body president @boris_gresely wants YOU to VOTE NOW  pic.twitter.com/msmC1PWwd2
11:43 AM - 15 Apr 2015|NOW: Streets packed in LA supporting the #FightFor15! pic.twitter.com/pSbaIlu1Sz
11:50 AM - 15 Apr 2015|We're STILL going strong!!! For those who haven't voted yet PLEASE exercise your voice and VOTE! VOTE! VOTE! VOTE! pic.twitter.com/jKSt3H3Wba
11:11 AM - 15 Apr 2015|Keep voting everyone! Thank you for your support! @CuseNAACP @AfricanAASU @AOE_SU @FYPsyracuse pic.twitter.com/roDNhXkSol
11:11 AM - 15 Apr 2015|ELECTIONS are almost over!!! pic.twitter.com/1fkOKBOs0M
8:55 AM - 15 Apr 2015|Its not too late to vote! Type in Tatiana Cadet in the Write-In candidate line and check the box to vote #TatiFati4SA #ReclaimYourVote...
7:45 AM - 15 Apr 2015|To vote for #TatiFati4SA type Tatiana Cadet in the Write-In Candidate space and cast your vote in MySlice #ReclaimYourVote
6:50 AM - 15 Apr 2015|.Its not too late to vote for #TatiFati4SA. Type Tatiana Cadet in the Write-In Candidate space and cast your vote in MySlice...
10:09 PM - 14 Apr 2015|I want a man who will sit and watch Harry Potter 1-7 with me without judgment.
9:22 PM - 14 Apr 2015|Wherever you are is where you're supposed to be. God is sovereign. His love for you is sure and his plan is to prosper you and give you hope
