7:10 AM - 19 Nov 2015|Shout out to my laptop for being the absolute worst
6:30 AM - 19 Nov 2015|A croissant and coffee is all I need to get me through the day
7:28 AM - 18 Nov 2015|Have been buying bomber jackets in various fabrics that bomber jackets should not be made in and feeling #awful about it in retrospect.
6:49 AM - 18 Nov 2015|Excited to be 5000 lbs soon. Between stressing eating this week & Thanksgiving the next, I'm confident I can meet my ideal weight of a whale
2:39 PM - 17 Nov 2015|When teachers try to teach this week, but everyone is in Thanksgiving Break mode pic.twitter.com/bnzYyFQILl
6:28 AM - 17 Nov 2015|Making returns is far too difficult
9:56 PM - 11 Nov 2015|How does he do it? He doesn't sleep.
4:49 PM - 11 Nov 2015|Hey @zozomal & @TouseyJeffrey! How do you keep social media exciting/engaging, both for followers & personally? #NewhouseNYCChat @NewhouseSU
3:10 PM - 9 Nov 2015|You won't see any sunshine for the rest of the week! Tune into #CitrusTV to hear your full weather forecast!  pic.twitter.com/KSddueXT6R
12:18 PM - 8 Nov 2015|When positivity seems hard to reach, I keep my head down and my mouth shut.
11:15 AM - 8 Nov 2015|Need to find a way to push through this week #HittingTheWall
1:07 PM - 4 Nov 2015|I want pizza. Not a throw away pizza. A really good, worth the calories pizza.
6:54 PM - 3 Nov 2015|Received a very cool @KloutPerks in the mail! Can't wish to try out these @Clinique Men's products pic.twitter.com/AAdz0HZ2Bh
8:28 PM - 29 Oct 2015|Take me back to Bushwick
9:06 AM - 26 Oct 2015|The student body continues to impress us with maturity and grace pic.twitter.com/fvncNFMGZ9
5:16 AM - 22 Oct 2015|Hey @SU_ITS, I cant get an Internet browser on my account. Tried several computers in schine computer cluster #help pic.twitter.com/iPNJRaqjjS
3:34 PM - 21 Oct 2015|Do blondes have more fun? Are brunettes naturally more aggressive? What about brunettes who want to be blonde? Thoughts I have.
11:07 AM - 20 Oct 2015|A guy next to me had a drippy nose during an exam. Made eye contact with a girl who was equally annoyed as I and it was #magic
7:26 AM - 20 Oct 2015|Just a boy and his stray pic.twitter.com/uSF5vaHF0j
2:44 PM - 16 Oct 2015|If you stay above the clouds, you'll always get a sunny day.
7:38 AM - 15 Oct 2015|Thrift store finds. Stay diligent, people. pic.twitter.com/hnoDbMERS5
6:30 PM - 14 Oct 2015|Everyone please be mindful and stay safe at this time.
3:41 PM - 14 Oct 2015|*Goes into vegan restaurant wearing leather jacket*   I'll have the quinoa #basic #trendy
7:22 AM - 14 Oct 2015|There are two kinds of people: those who pretend they don't check themselves out while passing store windows and liars
7:18 AM - 13 Oct 2015|Pretty sure the @CVS_Extra umbrella I bought was intended for a toddler. I've never seen anything so small. #GettingWet
8:06 AM - 12 Oct 2015|Amen for the SU Men's Soccer team. #AmIRight? pic.twitter.com/UstngXfmLv
12:59 PM - 10 Oct 2015|Saving lives right now #guac pic.twitter.com/99K4c81pfJ
9:19 AM - 8 Oct 2015|When I see anyone under the age of 25 wearing khaki pants I think to myself, were you forced to do that or are khakis who you are.
5:22 PM - 7 Oct 2015|Leaving #SocCommDays with another excuse to get a new tattoo. #PalmTattoo @SocCommSU
5:06 PM - 7 Oct 2015|You can't sell people anything anymore. You have to make people think they found it. #SocCommDays @SocCommSU
5:03 PM - 7 Oct 2015|Keep your social networks engaging even when you're not trying to push a message or control a crisis @SocCommSU #SocCommDays #important
4:55 PM - 7 Oct 2015|Emotion + Rationale. Humans tend to remember/tell are stories with an emotional tug #MakeItStick @SocCommSU #SocCommDays
4:52 PM - 7 Oct 2015|If your word doesn't fit for your audience? Change it up. Everyone responds to something else. #SocCommDays @SocCommSU
4:41 PM - 7 Oct 2015|Blood lust #SocCommDays @SocCommSU
4:41 PM - 7 Oct 2015|What does relevance look like to me? Well... #SocCommDays pic.twitter.com/lZ1OXschOc
4:38 PM - 7 Oct 2015|The thing that is most valuables is your point of view. #SocCommDays @SocCommSU
4:37 PM - 7 Oct 2015|There is no greater time to be going into PR than now. The seats are waiting... #ReadyToSit #SocCommDays @SocCommSU
4:34 PM - 7 Oct 2015|Google Alerts = bae. I get google alerts about pierogies and craft beer every day #SocCommDays @SocCommSU
4:33 PM - 7 Oct 2015|Hey @steeelejess! Thanks for follow. Hope you're enjoying @SocCommSU's #SocCommDays
4:27 PM - 7 Oct 2015|Business to business models differ from business to client. One thing that is constant? Global perspective. #SocCommDays @SocCommSU
4:23 PM - 7 Oct 2015|As a PR pro, one must fight to keep their company relevant in the public. #SocCommDays @SocCommSU
4:02 PM - 7 Oct 2015|We are on: Welcome @CPreussCarWild @CraigRoth @JennGottlieb @GaryGrates #SocCommDays pic.twitter.com/uG2sKG5uSx
4:01 PM - 7 Oct 2015|Being relevant is waaaay more  #trendy than reputation #SocCommDays #pr pic.twitter.com/b4DlBBoDe8
2:18 PM - 7 Oct 2015|My guacamole is expiring today. Holy shit. - @itsCoriRosen #JerkMagazine digital meeting importance.
5:03 PM - 6 Oct 2015|Retweet this photo for a chance to win a pair of tickets to the show!! pic.twitter.com/it6QUCGVIG
1:47 PM - 6 Oct 2015|Truly nothing as motivating as getting advice from #pr professionals. Thanks @RSFlinn @Xander_Levine & @EileenOBrien #SocCommDays
7:54 AM - 29 Sep 2015|Sometimes it takes three cups of coffee to wake you up in the morning. #ItsOnlyTuesday
10:59 AM - 19 Sep 2015|Peace, love & pierogies! Stop by to pick up official @PghPierogiFest tshirts!! pic.twitter.com/WU7T0IbxKF
7:17 AM - 16 Sep 2015|Girl, I'm not sure if stilettos and backpacks go together. #NiceTryThough
11:06 AM - 7 Sep 2015|People are outside Funk 'n Waffles waiting to hump Nick Jonas -@aidanmmeyer
12:35 PM - 6 Sep 2015|In the spirit of getting back to school, we want to know what's your FAVORITE HIGH SCHOOL MOVIE of all time? pic.twitter.com/k8h2vv3e7H
1:33 PM - 4 Sep 2015|Old habits, new personal expectations.
9:09 AM - 3 Sep 2015|Want to be a Jerk? We're looking for web writers.   Email jerkmagweb@gmail.com with your resume, 3 writing samples, and your Twitter handle.
1:52 PM - 2 Sep 2015|Getting pumped up for the first @jerkmagazine digital of the semester!
7:05 PM - 31 Aug 2015|My how was your summer response: Yes, I loved Brooklyn. No, I'm not shaving my mustache.
1:19 PM - 24 Aug 2015|When you're on an app with the most horrendous photo ever taken of you during the dead of winter #pale pic.twitter.com/h3i186XCP2
1:03 PM - 15 Aug 2015|Seriously RIP to my life
1:02 PM - 15 Aug 2015|Just lost over $750 in winter jackets thanks to storing shit in my basement #syracuse #coolforthesummer #evencoolerforthewinter
12:24 PM - 14 Aug 2015|The transient life continues. Bed taken apart. Bags partially packaged. New bedspread. Hours until I'm in my new apartment!
10:24 AM - 10 Aug 2015|My time in nyc is coming to end
10:38 AM - 25 Jul 2015|The beginning of Green & Gold sounds SO similar to Tease Me. Regardless, love it. @liannelahavas #blood
7:21 AM - 26 Jun 2015|Literally who are the event planners for NYC pride? This Supreme Court decision is TOO timely. Insane. Oh my god. #LoveWins
7:14 AM - 26 Jun 2015|Come on, equality! #BREAKING #marriageequality pic.twitter.com/kGHkEFyjNf
7:01 PM - 7 Jun 2015|The fashion from #TheTonyAwards has honestly been horrendous #sendhelp
5:58 PM - 7 Jun 2015|Vanessa Hudgens with the lip-sync #TonyAwards
10:10 PM - 22 May 2015|Watching the rerun of @Lesdoggg on @LateNightSeth and falling in love with her. We need more of her on @nbcsnl
9:01 AM - 22 May 2015|Shout out to @Chegg for one of the best customer service divisions EVER
