10:33 AM - 9 Sep 2015|This comic is 3 years old; presented without comment pic.twitter.com/38PGAii4cY
7:42 PM - 13 Jul 2015|Am waiting for the day Amit Shah will say- Blackmoney will come back after 100 years!! Haha... #AccheDin2040 pic.twitter.com/uHM4ZARAVM
10:38 PM - 13 Jul 2015|Amit Shah's 1st own goal - Promise of 15 Lakh was a JUMLAA  2nd own goal - Acche Din will take 25 years  Master Strategist?
11:14 AM - 7 Jul 2015|Onee Great Captain About Another :)  #HappyBirthdayDada pic.twitter.com/u6kJKwkP0W
8:59 PM - 7 Jul 2015|The twirling of the shirt at Lords defined his essence: combative, confident and fiercely anti-establishment  #HappyBirthdayDada
10:47 PM - 7 Jul 2015|Cricket could be about numbers, willow wizardry or leather craft. But if it is also about romanticism & Phoenix feathers, happy birthday!:)
5:04 AM - 6 May 2015|Sorry to say but govt's #blackmoney bill doesn't even have a single line devoted to bringing back black money to the country as promised
8:27 AM - 19 Apr 2015|Farmers are anti-nationals. India is doing so well, so they are committing suicide to make the government look bad.
1:29 PM - 7 Apr 2015|#PhotooftheWeek: A teacher addresses her class at a school we helped build in #Madagascar pic.twitter.com/hzcovZgrIV
8:22 PM - 6 Apr 2015|Through the ordinance let the govt. acquire 1000 acres of land in UP/Bihar in PPP model of development as a test case. #landbill
8:17 PM - 6 Apr 2015|Let the govt. acquire 1000 acres of land in UP/Bihar in PPP model of development as a test case. #landbill
11:28 PM - 4 Mar 2015|In India everything has to do with the cult or the mob #LiftTheBan
9:05 PM - 2 Mar 2015|Kolkata!!! It is chance in a lifetime or rather since partition to regain the title of a India's true cosmopolis. #beefban
11:54 PM - 28 Feb 2015|Afridi won't be happy getting a duck earlier. Mind you, he's used to not adding to the total on his birthday. #PAKvZIM
4:37 AM - 28 Feb 2015|Beti Bachao Beti Badhao in Union Budget Rs 100 Cr Kanyashree Scheme in Bengal Budget Rs 850 Cr  What do you say ?
9:03 PM - 22 Feb 2015|I hv employed a Servant for 20Lacs. Will pay him salary of 5300Rs per month for 30yrs. Thx.
4:39 AM - 19 Feb 2015|My letter to @Dev_Fadnavis urging to intervene in #Unjustified proposed #Hike in #Electricity tariff by #Reliance. pic.twitter.com/akRWrkj3tA
12:12 AM - 19 Feb 2015|Sonia Gandhi to write to PM Narendra Modi seeking special status to Andhra Pradesh, as promised by Manmohan govt, says Digvijaya Singh.
2:02 AM - 19 Feb 2015|Sc ask bjp govt to fulfill 1 rank,1pension promise. Enough of election #jumla now fulfill d promises. #PPLaskPM pic.twitter.com/3xiCfxzphZ
7:26 AM - 19 Feb 2015|India: Where 600+ people dying due to Swine Flu doesnt make news but a minor slip of tongue by a lady who everyone loves to hate is HEADLINE
7:54 PM - 9 Feb 2015|Shellacking in Delhi!!! #DelhiDecides
7:53 PM - 9 Feb 2015|Shellacking in Delhi!!!
11:54 PM - 5 Jan 2015|Nobody would raise Questions on #TerrorBoat if govt had officially put out credible evidence. Too many claims, Too little evidence. Thx.
8:41 PM - 10 Nov 2014|Eagles fans, our boys DID NOT TURN THE BALL OVER TONIGHT. Rejoice.
2:53 PM - 8 Jul 2014|Brazil have Neymar. Argentina have Messi. Portugal have Ronaldo. Germany have a team!
9:58 PM - 17 Apr 2014|Political parties need each other. Once a party is voted to power, their arrogance and scams make the party that was booted out look good.
9:21 PM - 17 Apr 2014|Once upon a time newspapers had double spreads dedicated to the #IPL. And, today? Times they are a changing pic.twitter.com/4jIxxeKIwp
9:09 PM - 1 Apr 2014|Convictions are more dangerous enemies of truth than lies.  #Nietzsche
7:22 PM - 26 Mar 2014|If Modi can call @ArvindKejriwal a Pakistani agent you can imagine what will be the state of minorities if he came to power.
9:54 PM - 26 Mar 2014|It's better for RG to give interviews and speak to press tho some may disagree with him, than to shun press interviews like Modi.
9:58 PM - 26 Mar 2014|What, 48 hours weren't enough to do so? RT @ndtv: N Srinivasan will step aside as chief of the cricket Board, BCCI's offer to SC: sources
9:59 PM - 26 Mar 2014|Hope Srinivasan's offer to 'step aside' doesn't stop the Supreme Court from revealing the contents of the sealed envelope.
10:43 PM - 21 Mar 2014|.@ksingh76 @ajaykuligod A lie is a lie in any language. The RSS is a master of untruths in many tongues.
10:41 PM - 8 Feb 2014|Our charming friends the @HinduAmericans have demanded that @jonathanshainin 'stay out of India', having first smartly stayed out themselves
9:25 PM - 14 Jan 2014|All the purple hope of the GOP got stuck in the GW traffic.
8:39 PM - 14 Nov 2013|No sportsman has ever performed amid such sustained drama, passion and national fervour as Sachin Tendulkar. Quite extraordinary. #Master
8:39 PM - 14 Nov 2013|One last hurrah!!!  #ThankYouSachin for all the years.
5:16 AM - 14 Nov 2013|#ThankYouSachin for everything over the years. Best wishes. @BCCI
9:54 PM - 13 Nov 2013|#ThankYouSachin for everything over the years. Best wishes.
9:11 PM - 6 Oct 2013|Argument against AI is not that the private sector can run it more efficiently but that no public purpose is served by a subsidized airline.
11:51 PM - 18 Sep 2013|Real austerity would be stripping down Air India to 4 planes (2 for VIPs, 2 for emergencies) and hiving off the rest in a joint venture
9:24 PM - 2 Sep 2013|Nokia bought. Now #msft should gobble bby.
10:20 AM - 16 Apr 2013|Communalism thrives on denigration of the Other. Secularism, on the other hand, thrives on respect for the Other.
10:47 PM - 29 Jan 2013|Today @ndtv .com one news item on google's mapping of N. Korea & an indirect promo of youtube (google) via a news on online ad.
9:51 PM - 23 Dec 2012|Corruption is not the only affliction in our political leadership -- it's catastrophic slide in intellect and world view and understanding
10:12 PM - 6 Nov 2012|The difference in diversity between the Obama victory crowd and the Romney crowd is this election in miniature
8:32 PM - 5 Sep 2012|Bill Clinton at his sublime best.
5:03 AM - 17 Feb 2012|@sonaliranade Brilliantly put.
9:44 PM - 15 Dec 2011|R.I.P Chris Hitchens
10:44 PM - 11 Nov 2011|@Aagan86 Don't worry you have some company with most New Yorkers who have not been to the statue of liberty.
6:03 AM - 2 Nov 2011|@sagarikaghose Why should Justice Katju apologize? Pls do not suffocate plain speak. By the way what have the editors guild achieved?
