4:35 PM - 29 Nov 2015|Happy birthday to my two favorite travel buddies @RachelRoams and Jennifer from @LATravelMag 
2:14 PM - 29 Nov 2015|Do I have Amazing Hair or Hot Mess Hair in this pic? My friend and I need help settling this argument #GirlProblems pic.twitter.com/Q1S5Tqeglf
1:10 PM - 28 Nov 2015|My idea of heaven- @sprinkles cupcakes that I overdosed on @TheMcCordList Top Ten event! #TheMcCordList pic.twitter.com/ZJEeu654Tb
9:11 AM - 27 Nov 2015|I had chocolate milk for breakfast like I am 5 years old. It was delicious. Now I'm off to play with coloring books
3:22 PM - 25 Nov 2015|Trading  for  En route to Chicago for #Thanksgiving
7:27 PM - 24 Nov 2015|I have high expectations for tonight... pic.twitter.com/0ylHrtkVMk
3:50 PM - 24 Nov 2015|Pumped to start my new workout routine #Fitspiration pic.twitter.com/DQiFTSXMuy
3:00 PM - 23 Nov 2015|One eye with lashes- one eye without-- can you tell? pic.twitter.com/3sbVCsjYNv
7:30 PM - 21 Nov 2015|4 years in LA and I finally made it to Grauman's Egyptian Theater #BadTourist pic.twitter.com/7IBuksGLVs
10:57 AM - 21 Nov 2015|Hike or gym?
4:30 PM - 20 Nov 2015|I've tried it. It works #fitspiration @bellayounger pic.twitter.com/3IMaErGiZV
12:20 PM - 20 Nov 2015|I share my office with only the most fabulous people ;) pic.twitter.com/2n9bsycx6Y
6:28 PM - 19 Nov 2015|So much fun celebrating the inaugural #TheMcCordList @BeautyBalmLA @RobbVices pic.twitter.com/Ir4g9HhitR
5:05 PM - 16 Nov 2015|Had so much fun at the Brighton Salon Launch! Thanks @RiotMediagrp #brightonsalon #RIOTgirl pic.twitter.com/LYWKaNZYn7
12:54 PM - 16 Nov 2015|I am straight up evil today-- watch out  pic.twitter.com/eJm3srbtkR
1:29 PM - 15 Nov 2015|Flags at half staff in Santa Monica  #Prayers4Paris #PrayForWorld #PrayForNigeria #PrayForLebanon pic.twitter.com/wIWt80XFkm
12:02 PM - 15 Nov 2015|Finally feels like fall in LA #HappySunday
5:05 PM - 14 Nov 2015|GNO at the opening of @speedplayla - getting our fitness on!  @riotmediagroup @shaewilbur pic.twitter.com/Palvh4vUok
3:09 PM - 13 Nov 2015|Terror attack in Paris. In absolute shock. Please stay safe 
