5:26 AM - 19 Nov 2015|The flavor of the day is Snickerdoodle :)
8:51 AM - 18 Nov 2015|#IStillFacebookBecause it's the devil and a sold my soul a long time ago.
5:43 PM - 17 Nov 2015|Friends follow my student org @OMG_Syracuse! We promote #student #music at @SyracuseUniv! #NHsmtp pic.twitter.com/UzZNEwcmHw
2:38 AM - 13 Nov 2015|Happy #fridayfreebie! We've got 2x SE Electronics Magneto Condenser #Microphones to #giveaway RT & Follow to enter pic.twitter.com/PSfGGRxEMQ
4:52 PM - 13 Nov 2015|praying for #paris
12:16 PM - 12 Nov 2015|If you are trusted and have an authentic relationship with your community, you are an influencer. -@iSocialFanz #HootChat #SBizHour
6:36 AM - 11 Nov 2015|Today is #Veteran's Day! Thanks to all those who've fought for our right to #livethedream.
3:35 PM - 9 Nov 2015|Love making music for work. #MondaysIn5Words #NHsmtp #studio #recording pic.twitter.com/IhreyNqMJZ
5:14 PM - 5 Nov 2015|I keep thinking... is #Nashville the move?
7:50 AM - 3 Nov 2015|Hey @LILBTHEBASEDGOD I hope you have a #blessed day. #basedgod #tuesday #NHsmtp
6:05 AM - 3 Nov 2015|Thank you @Lettuce for hooking me up with a pair of tickets to your #Buffalo show! Can't wait to hear the #Crush.#Lettuce #livemusic #NHsmtp
2:28 PM - 1 Nov 2015|Glad to end such a great weekend at #AES139 with a delicious meal with my professor and colleague. #baklava #dessert pic.twitter.com/mSkUmKHV99
11:52 AM - 1 Nov 2015|Thanks for speaking about your music and #recording experiences @mcbridesworld ! #inspired #vibe #aes139 pic.twitter.com/RDUo4DIKXV
6:04 PM - 30 Oct 2015|Just enjoyed a great dinner at the #diner with my boy @scintomike #nyc #fatboys pic.twitter.com/9ZNRKvAJ6l
12:48 PM - 30 Oct 2015|Russ Elevato is the man. He maintains an entirely #analog mix chain all the way until the master is created. #aes139 #audio
12:10 PM - 27 Oct 2015|Very excited to attend #AES139 in #NYC this weekend! Looking forward to meeting like minded #audio nerds #proaudio
5:12 AM - 26 Oct 2015|Today's flavor of the day is Vanilla Caramel!
5:45 AM - 20 Oct 2015|Woo! I'm now #hootsuite #certified! Now time to get on that job search grind... #sm #hireme
7:25 PM - 19 Oct 2015|So. Very. Excited. #starwars #letsgo #stormtrooper #guitar pic.twitter.com/JMBiQN42Za
9:26 AM - 19 Oct 2015|A little chilly out today, but still enjoyable weather! #sunshine #syracuse #leaves
10:32 AM - 15 Oct 2015|#tbt to when @mikesummergrad @stgeersyr @Tang_RZ and I learned a lot about a little #minimalism #comtheory #NHsmtp pic.twitter.com/CYJkvYHrHe
6:58 PM - 11 Oct 2015|I rarely meet a musician that's worked everything out and is happy
11:44 AM - 9 Oct 2015|... When @Snapchat story is about #Istanbul  #Turkey #Turkiye #imissyou
7:29 PM - 8 Oct 2015|NYS friends: register to vote BY TOMORROW. Register as a democrat if you like @BernieSanders otherwise you may not be able to!!
11:15 AM - 5 Oct 2015|Loving the new #downtown @RecessCo! Around the corner from my place, just like @otro5cinco! #WestcottNation moves! pic.twitter.com/QAL0QFkaOM
10:04 PM - 21 Sep 2015|Streaming CAN help the record industry thrive again if users get on board with subscriptions. #NHsmtp #musicindustry pic.twitter.com/9nFvtGv9Cx
8:17 AM - 21 Sep 2015|Social media can exist in analog form, like the graffiti in @WestcottTheater 's alleyway. #socialmedia #NHsmtp pic.twitter.com/ZHTEhFSZTv
6:35 AM - 21 Sep 2015|ITS A BEAUTIFUL DAY OUT GO OUTSIDE AND ENJOY THE WEATHER BE CREATIVE AND DO DUMB SHIT! #NHsmtpvoice
10:52 AM - 18 Sep 2015|Follow these great sources for music business news: @billboardbiz @digitalmusicnws @hypebot #followfriday #musicindustry #business #NHsmtp
7:25 AM - 17 Sep 2015|From intern to studio drummer in a day... #studiorecording #MusicIndustry #drums
6:16 PM - 4 Sep 2015|Great seats at the game tonight! Hanging with @ThisIsBarta44  #GOORANGE #SUFootball pic.twitter.com/DVOziOotyh
