10:27 AM - 19 Nov 2015|Remember to tweet your questions with #datastack to be entered into the cupcake drawing!
10:25 AM - 19 Nov 2015|What would have taken months of intensive engineering efforts is now accomplished in 1,2, or 3 weeks #datastack pic.twitter.com/gZ0gmkQFUO
10:14 AM - 19 Nov 2015|The 7 core challenges of data integration, brought to you by @Smcavinney #datastack pic.twitter.com/LqFOAxoBDI
10:09 AM - 19 Nov 2015|How data stacks are structured today. The modeling and analytics layer removes the need for data silos #datastack pic.twitter.com/sHfv2jDenZ
10:05 AM - 19 Nov 2015|Dillon from @LookerData explains the traditional (old) approach to data infrastructure #datastack pic.twitter.com/jgfxcw2tvR
10:01 AM - 19 Nov 2015|The webinar is underway! Make sure you're adding #datastack to your questions to be considered for the cupcake prize!
11:31 AM - 6 Nov 2015|Top project that didn't alter code was Team 3 w/Pipeline Through-Put Lite-Brite! And, finally: here's an RJ-Snuggie! pic.twitter.com/RSiviRtqbD
10:59 AM - 6 Nov 2015|We're done! CEO @robertjmoore is here to remind us of our instant-runoff voting rules. I'll have results for you in ~30m. What's your vote?
10:58 AM - 6 Nov 2015|Our final preso! #18 is a 1-man charity project! Using RJ's soda addiction (& some friendly competition) to benefit Ronald McDonald House?
10:53 AM - 6 Nov 2015|Team 17 (my team!) started w/our Export API, but then built use-cases of automating external marketing actions w/live inputs from RJ-Reports
10:33 AM - 6 Nov 2015|Team 15, TX-to-Philly import @_BobLittle made us Philly-based BBQ (RJQ) and his presentation is eating it in front of us, dish by dish.
10:29 AM - 6 Nov 2015|The snuggies make you look like a wizard, but Team 14 are magicians: used Python to interpret SQL queries into human-language instructions!
10:28 AM - 6 Nov 2015|Team 12 dove into the world of building automation in SalesForce to speed up Opportunity flow for our amazing Sales team. Shippable on Tues!
10:27 AM - 6 Nov 2015|Team 13 (I'll come back for 12) made a line of branded RJMetrics snuggies. I'm not joking. We will locate photographic evidence of this ASAP
10:20 AM - 6 Nov 2015|Team 11's preso was a bit over my head. That's 1 of many amazing things about @RJMetrics: such smart people in every room, so much to learn!
10:11 AM - 6 Nov 2015|Our Median and Percentile metric types came from a past Hackathon, so we're always excited to see new measurements & perspectives show up!
10:10 AM - 6 Nov 2015|Team 10, A Powered Elf Turnip, an anagram for what they built. I'll arrange a prize if you figure it out! In their spare time: Moving Avgs
9:56 AM - 6 Nov 2015|What's this uncharacteristically chatty streak of tweets? We're live-tweeting our quarterly Hackathon presentations! 9 teams left to tweet.
9:54 AM - 6 Nov 2015|Also, rather than present live in person, they presented in silence entirely in Slack Chat format, with ample use of /giphy (risky business)
9:52 AM - 6 Nov 2015|Team 9 introduced another @SlackHQ integration! The robots are multiplying! Teaching Slack to be a personal assistant is a major theme today
9:36 AM - 6 Nov 2015|Team 6 built an amazing {REDACTED}, a value-add we've frequently wished for (w/no change to codebase)! Amazing what 24hrs of effort yields.
9:30 AM - 6 Nov 2015|Team 5 built a @SlackHQ integration, programming our very own JARVIS to respond to common internal questions. Less snarky than Jarvis, tho.
9:27 AM - 6 Nov 2015|The implication being: we're not going to lose several dozen ping pong balls a week to the voracious couch monsters surrounding the table.
9:26 AM - 6 Nov 2015|Also in Arts'n'Crafts category, Team 4 upgraded the furniture in our game room with rigid dust-ruffles. Ping Pong efficiency is popular here
9:24 AM - 6 Nov 2015|Also notable, Team 3 Mike D's entire presentation is entirely drawn by hand on flip charts.
9:21 AM - 6 Nov 2015|Team 3 brings RJMetrics' Pipeline into the physical world, creating a display of pipeline thru-put w/Rasp PI & LED board (think: Lite-Brite)
9:19 AM - 6 Nov 2015|Team 2 is a past one-man winner, reprising a previous hit of designing new front-end visualizations, now for our data tables.
9:15 AM - 6 Nov 2015|Team 1 is a one-man show re-thinking manual file upload functions in both our products. All Angular, multiple file types. Amazing 24hr work!
9:11 AM - 6 Nov 2015|Welcome to the Fall 2015 RJMetrics Hackathon! I'm your host @krisis, Director of our Account Management team. So much innovation to share!
11:01 AM - 22 Oct 2015|And that's a wrap. Thanks for joining us for today's webinar! Registrants: keep an eye out for a recap coming your way soon.
10:52 AM - 22 Oct 2015|The personalized business cards at @RJMetrics! Yes, that is a laser shark on you see on @robertjmoore's card pic.twitter.com/O04ggDUX5T
4:39 PM - 1 Oct 2015|Fun fact: there are 125 million private companies in the world #DPL15
4:04 PM - 1 Oct 2015|White glove roll out allows developers to reduce potential negative impact of experimentation #DPL15
4:02 PM - 1 Oct 2015|Panelists discussing the merits of data enabled vs data driven pic.twitter.com/spAhYuvsFm
2:53 PM - 1 Oct 2015|Love seeing @rjmetrics clients use the output of my work (eg visualizations) in presentations! #dpl15
2:42 PM - 1 Oct 2015|.@iyengar's approach to managing inventory during the holidays: understand growth rate, identify trends, track progress #DPL15
2:38 PM - 1 Oct 2015|.@jasalone sharing how @StudyMode solved the raging debate around free trials #DPL15 pic.twitter.com/AnAXuFdd7W
2:34 PM - 1 Oct 2015|Final tip: metrics aren't static. Use them to understand your business, talk to investors, adjust ops #DPL15
2:33 PM - 1 Oct 2015|Tips from @stephpalmeri on talking data w/ investors: Be clear about metric definition and give them access to data #DPL15
2:08 PM - 1 Oct 2015|Data Point Live is...well...live! Kicking things off w/ the required embarrassing founder photo #DPL15 pic.twitter.com/sFv2OCvQta
1:12 PM - 30 Sep 2015|In 2012, 120 Marketing Experiences companies were founded. Across all other categories, only 69 were founded pic.twitter.com/pTjTrszJp9
7:10 AM - 22 Sep 2015|J.Haines quote related to involving methods folks in experimental design #ICBSymposium pic.twitter.com/yVIhSarJ5L
10:09 AM - 16 Sep 2015|I got a Grace Hopper can coozi for programmers day @RJMetrics pic.twitter.com/XPkyPwr0Is
11:38 AM - 9 Sep 2015|Help us welcome our newest team member! Jacob loves sleeping, eating, and crunching data with @RJMetrics pic.twitter.com/rDVPzpzid2
10:38 AM - 3 Sep 2015|Our cupcake winner is @forstot! Congratulations! #MeasuringMarketingData
10:31 AM - 3 Sep 2015|The Q&A period is underway! Last chance to tweet questions on #MeasuringMarketingData. Cupcake winner announced at the end.
10:09 AM - 3 Sep 2015|How we feel about spreadsheets #MeasuringMarketingData pic.twitter.com/jTcSYGcvsG
10:06 AM - 3 Sep 2015|Webinar attendees, tweet your questions on #MeasuringMarketingData for a chance to win cupcakes! pic.twitter.com/vtBACrPMh0
10:44 AM - 19 Aug 2015|Thanks everyone for the great webinar today with @inboundecomm of @HubSpot and our very own, @agarimella ! #ecommgrowth
10:30 AM - 19 Aug 2015|We saw that the fastest growing companies have a CLV 79% higher than their peers. #ecommgrowth pic.twitter.com/Oq4lRxLIq0
10:27 AM - 19 Aug 2015|Webinar with @inboundecomm of @HubSpot and @agarimella talking marketing ROI #ecommgrowth pic.twitter.com/EKGhBquoqJ
10:26 AM - 19 Aug 2015|The 4 drivers fueling #ecommgrowth 1) acquire more customers 2) acquire better customers 3) increase AOV 4) keep customers coming back
10:20 AM - 19 Aug 2015|Right now @inboundecomm of @HubSpot sharing examples of helpful and informative content to engage customers #ecommgrowth
10:16 AM - 19 Aug 2015|Don't forget to tweet any questions with #ecommgrowth to get answers from @agarimella and @inboundecomm
10:15 AM - 19 Aug 2015|Content brings customers in, but context brings them through the funnel. @InboundeComm #ecommgrowth
10:14 AM - 19 Aug 2015|Right now @inboundecomm is sharing how to use personas to zero in on what kind of customers you want to attract #ecommgrowth
