8:51 AM - 11 Dec 2015|Muslim women open wearing hijab pic twitter com TKaZqxQjp1|2.2K|2.9K
6:59 AM - 11 Dec 2015|Secret Service 2018 We take threats President Trump seriously Like good idea please let us know|41|89
1:39 PM - 8 Dec 2015|It's time I sat son sex mumble|1|17
4:59 PM - 8 Dec 2015|Anyone doesn't request unlimited salad breadsticks last meal idiot|264|884
3:57 PM - 7 Dec 2015|jeb bush must defeat radical islam donald trump ban muslims ben carson one time wore jellyfish like hat|624|1.1K
9:48 AM - 29 Nov 2015|jeb bush must defund planned parenthood donald trump must destroy planned parenthood ben carson good movie spy kids 3D|901|1.8K
11:22 AM - 23 Nov 2015|jeb bush muslim refugees can't trusted donald trump saw muslims cheering 9 11 ben carson ate bug powers|3.3K|5.7K
2:13 PM - 20 Nov 2015|jeb bush shouldn't accept refugees donald trump nuke refugees ben carson wizards real i'm made butter|4.1K|6.9K
5:01 PM - 7 Dec 2015|Lotta Before pictures Trump rally|208|868
6:18 AM - 27 Nov 2015|1st date I love spiderman movies Me So I thinking something say impress Me I used spider|5K|8.3K
7:19 PM - 4 Dec 2015|movie life hope skip today spent whole episode get away murder trying peel one clementine|79|653
2:55 PM - 2 Dec 2015|syria white country yall would've changed ur pfps fb syrian flag moments silence schools lives lost|3.1K|2.5K
9:30 AM - 30 Nov 2015|ME slowest elevator I've ever JANITOR broom closet|71|183
12:41 PM - 4 Dec 2015|who's real selfless one mark give away 99 zuckerberg ol' cookie fell ground it's bird adejuyigbe|87|654
8:26 AM - 1 Dec 2015|juliet oh romeo romeo wherefore art thou romeo romeo i'm art thou juliet romeo talking like hard|139|491
2:28 PM - 4 Dec 2015|peanut design two peanut means one also one well|2K|3.3K
7:28 AM - 2 Dec 2015|judging dog show DOG barks ME ticks clipboard This one's working fine AUDIENCE MEMBER You misunderstood what's required|1.9K|4.1K
3:04 PM - 1 Dec 2015|Me handing ton balloons tiny person Tiny Person Me waiting second looking super disappointed ya|114|329
4:56 PM - 1 Dec 2015|ever seen sound music guy synesthesia yes time|158|489
4:46 PM - 30 Nov 2015|I really like new Drake song liked girl booty calling implies she's whore she's moved|36|140
6:53 PM - 29 Nov 2015|ASK NOT WHAT YOUR COFFEE CAN DO FOR YOU BUT WHAT YOU CAN DO FOR YOUR COFFEE|63|96
2:24 PM - 27 Nov 2015|Guy From The B52s I m tired please make Me want 30 Guy From The B52s IT S AS BIG AS A WHALE|20|117
6:21 PM - 27 Nov 2015|Me feelings Friend spotlight shines jazz plays Me EMOTIONS Friend oh Me snapping I lot here's list|124|317
6:41 PM - 27 Nov 2015|Dear Media Abortions 3 #PlannedParenthood's services Please stop calling abortion clinic pic twitter com qcfosgVciG|5.1K|4.7K
7:56 PM - 27 Nov 2015|Sext 1st I remove jacket Then sweater Then shirt It's cold I put shirt sweater back I'll call u it's less cold|55|154
6:10 PM - 26 Nov 2015|business idea profit|143|257
10:06 PM - 15 Nov 2015|Is date This feels like date -blind guy farmers market|360|1.1K
