10:54 AM - 9 Dec 2015|Been laying sick bed 24 hours Had fever dream awesome video game doesn exist I want play|58|987
10:52 AM - 8 Dec 2015|Donald Trump huge asshole ahead polls millions millions Americans also huge assholes|13K|17K
8:16 PM - 7 Dec 2015|Dear past Gus Thank buying new bottle vodka I could get drunk soon I got home|176|1.6K
4:23 PM - 7 Dec 2015|Trump Gives Muslim On Fence About Radicalizing Just The Push He Needed http onion com 1R5Zg8D pic twitter com P1GZ74bokX|3.9K|3.7K
4:07 AM - 7 Dec 2015|I highkey want stay bed day|1|2
11:31 AM - 6 Dec 2015|If like tweet surprise ending cannibalism|875|2.5K
6:42 PM - 5 Dec 2015|The hostess huge boobs -me No boobs brain -Esther Wish I boobs face -me Art seduction Gus|697|3.9K
4:08 PM - 4 Dec 2015|Retweeting make everything better|5.7K|2.4K
8:23 AM - 3 Dec 2015|Every new day another chance lose faith humanity|3.9K|4.9K
9:05 PM - 1 Dec 2015|You ridiculous|2.8K|4K
2:30 PM - 1 Dec 2015|Lots real true things ever-expanding http TEDCRUZTRUEFACTS COM #TedCruzTrueFacts http cc com 1NlYyNy pic twitter com V3FQKiWLcc|191|367
3:01 PM - 1 Dec 2015|Man Has No Idea What To Do With Visiting Friend Between Meals http onion com 1KbACek pic twitter com PTy9Dl2G0q|290|796
8:30 AM - 28 Nov 2015|It important remember many things preserved alcohol dignity one #wisdom|480|735
11:30 AM - 29 Nov 2015|Running backs paid millions dollars run forward|332|751
3:01 PM - 1 Dec 2015|You know #ItsDecember months happened|496|781
8:00 PM - 30 Nov 2015|Family Worried Where Grandma Going With Conversation On Low-Income Housing http onion com 1OrwbCR pic twitter com I0q8CYVXQa|170|576
9:00 AM - 1 Dec 2015|I normal person normal life http onion com 1OtNhjH pic twitter com kY2cQdZ1oO|259|652
1:47 PM - 30 Nov 2015|I feeling I'll failing chemistry exam|4|1
11:10 AM - 29 Nov 2015|I hate favorite sports team|2.6K|4.2K
5:50 AM - 26 Nov 2015|Happy Thanksgiving 3|194|1K
4:15 PM - 25 Nov 2015|Day 243 Hard feel #gratitude world view like #GoodNight @space_station #YearInSpace pic twitter com QxlWW6Wb7E|5.5K|11K
7:30 PM - 24 Nov 2015|Man On Date Ready For Question About Siblings This Time http onion com 1Ly9xCm pic twitter com fREB1uOcl7|126|463
10:02 PM - 24 Nov 2015|@MicaBurton severe dehydration Cap got like pic twitter com 3G3a0FNzuP|8|60
7:29 PM - 24 Nov 2015|Aunt Where's little girlfriend Me Where's children's father #ThanksgivingClapBack pic twitter com K9tVkxIrG6|2|3
7:50 PM - 24 Nov 2015|This week look back #SpecialReports @msjwilly met Peoria mayor's Twitter troll http cc com 1QyZS6g pic twitter com g6jY4M4zl0|153|456
6:00 PM - 24 Nov 2015|Nation Demands More Movies Where Guy Reveals He Was Wearing Bulletproof Vest http onion com 1Ly9F4Z pic twitter com 35wvjUDIx1|316|731
6:49 PM - 24 Nov 2015|Don't forget watch #drunkhistory tonight Comedy Central For real guys Go nuts I https instagram com p -fdq2BwkuS|349|1.5K
8:45 PM - 24 Nov 2015|much Carolina makes angry every single game I don't think I could ever fan team|1|1
1:07 PM - 24 Nov 2015|Only Messi save|3.4K|3.6K
10:58 AM - 24 Nov 2015|This extremely ironic time President pardoning Turkey|3.1K|4.9K
9:00 AM - 23 Nov 2015|The new trailer #Zootopia Watch see film theatres 3D March 4 https amp twimg com v 31beb6a0-0e86-4766-bc54-6edee7f9dac5|6.3K|11K
9:00 AM - 24 Nov 2015|Top 2 Ways say Thank You 1 Thank 2 Thanks|207|450
9:00 AM - 24 Nov 2015|Ensure loved ones eat right Thanksgiving http onion com 1jhZISx pic twitter com xyjHih4BQy|123|150
6:47 PM - 23 Nov 2015|When relatives get drunk start spilling tea family members #ThanksgivingWithBlackFamilies pic twitter com RYJijdSRvF|6.9K|5.5K
9:20 PM - 23 Nov 2015|ur older cousin who's 21 say bouta run liquor store #ThanksgivingWithBlackFamilies pic twitter com jGCCOWfMCo|116|94
5:01 AM - 24 Nov 2015|Man Confidently Hits Send On Worst Job Application Company Has Ever Seen http onion com 1Nay5Xu pic twitter com jC7bQw04u6|584|1.4K
7:02 PM - 23 Nov 2015|You happened I created monkeys got arrogant|3.3K|5.5K
