7:18 PM - 9 Dec 2015|A thrilling saga pic twitter com mbcbWSkPCE|7.9K|15K
8:03 AM - 11 Dec 2015|youre bus dont know fUCK dark outside love winter|1|1
3:15 PM - 11 Dec 2015|The newlywed never sleeps The antidote dad pic twitter com fz6CxlI1Vm|2|2
12:43 PM - 11 Dec 2015|So I called dad department pic twitter com qDPWnvE1X6|12|9
11:25 AM - 11 Dec 2015|went onion offices immediately geeked @mountain_goats pic twitter com GTOnDw5iYH|1|24
8:34 AM - 11 Dec 2015|notifications I'm getting seem suggest tickets spring tour sale NOW http www mountain-goats com|17|77
6:25 AM - 11 Dec 2015|More underwear seems available In sleep grow prosper together pic twitter com H3ATOjgjkJ|3|5
12:44 AM - 11 Dec 2015|every one computer days|144|397
4:08 PM - 10 Dec 2015|Until 1840 rappers wore best dresses pic twitter com QKuht9zM8k|10|13
6:48 PM - 10 Dec 2015|spotted dude Jesus loves juggalos shirt dude sublime back patch get shit together Chicago|4|29
4:58 PM - 10 Dec 2015|I let anyone hurt men women trans people animals children plants trees small organisms - Lil B|1.7K|2.1K
7:27 AM - 10 Dec 2015|Use frorce ya dingus pic twitter com vudXQXJeTs|956|1.3K
4:10 PM - 9 Dec 2015|I need bigger TV smaller group friends|201|379
6:25 PM - 3 Dec 2015|The Purge Club Penguin 2016 pic twitter com Il30r4Rrzb|1.4K|2.4K
7:58 AM - 9 Dec 2015|listening lawrence arms suddenly everything tastes like cheap beer college dorms|2|9
4:16 AM - 9 Dec 2015|I great diplomacy Around world love https twitter com ReutersUK status 674503357126569984|53|139
1:17 AM - 9 Dec 2015|If I refuse ever date marry mean I'll condemn life misery boredom lonely death|132|134
7:54 PM - 8 Dec 2015|The homie said could hang whole box set lightweight pic twitter com XzoLy92Ua9|21|129
2:51 PM - 8 Dec 2015|What I'm animated @desaband video Golden Parachutes https youtu e-pniJRv35w|34|150
11:45 AM - 8 Dec 2015|Don't listen Paul Ryan Trump EXACTLY GOP stands He isn't smart enough cloak racism behind code words|17|33
7:43 AM - 8 Dec 2015|ok today ups downs I'm calling win https twitter com Venneh status 674251641818890240|53|178
8:16 AM - 8 Dec 2015|Where I get erotic comic published|86|110
2:19 PM - 7 Dec 2015|wait make fun celebrity baby weird name thought pilot|2|32
11:20 PM - 6 Dec 2015|I want one 30 day challenges except instead workin wearing color black Anyone #intenseworkouts|105|356
2:54 PM - 6 Dec 2015|friends explaining star wars movies re watching sounds like re making go along|7|53
8:57 AM - 6 Dec 2015|said said thing May 4th|3|23
6:43 PM - 26 Nov 2015|Do U hONestlY tHInK iTs cooL To sweAR|498|458
5:02 AM - 5 Dec 2015|We loved @mountain_goats EP Babylon Springs much named event http bit ly 1V7Q8jj|8|33
2:33 AM - 5 Dec 2015|longer close eyes seeing bounty Farm Fresh groceries licked dirty dogs animals|307|1.1K
5:22 AM - 3 Dec 2015|We never consider white shooter could part terrorist movement Muslim shooter could motivated individual rage|293|368
4:26 PM - 2 Dec 2015|today garbage video dog holding hand pic twitter com Ev16CqPsXh|14|74
6:01 PM - 2 Dec 2015|AND THAT'S WHY YOU ALWAYS LEAVE A NOTE pic twitter com OODxu2inff|438|801
7:13 PM - 2 Dec 2015|I'll @ComicArtsLA Table 9 selling posters comics also Kids Love Comics panel Sun morn pic twitter com nh8RrESKjA|6|21
8:21 AM - 2 Dec 2015|officially reached point life whatever question answer fuck|75|115
5:07 AM - 2 Dec 2015|Trump threatens boycott debate Nation mourns potential loss opportunity hear reality tv guy yelling people|143|296
6:33 AM - 2 Dec 2015|I'm tired trying find happiness lies self-medicating If need I'll bar|170|306
1:25 AM - 2 Dec 2015|Will someone come hold pillow tightly top face I fall asleep|100|249
4:03 AM - 30 Nov 2015|archaeologists found hieroglyphs wall hidden chamber inside king tut's tomb confirms damn bitch|640|1.2K
8:36 AM - 30 Nov 2015|joked jeff rosenstock btmi shirt every occasion well pic twitter com YT0vpZtitd|1|25
2:12 PM - 30 Nov 2015|If someone doesn't fave tweets immediately I get shy delete|1|21
4:46 PM - 29 Nov 2015|No I ashamed SEEN I like WITH #dating|181|447
4:52 PM - 29 Nov 2015|Remember Canada coulda half-time band And I woulda given wardrobe malfunction end wardrobe malfunctions|101|181
9:48 AM - 29 Nov 2015|oops I listened jodie saves day I'm emotionally incapacitated rest day|1|13
9:15 PM - 28 Nov 2015|that's think 75 time turn car's heat cooling controls socioeconomics Looney Tune Babies|1|14
9:14 PM - 28 Nov 2015|Porky Baby fine presumably used Daffy Baby melted puddle|1|5
9:13 PM - 28 Nov 2015|couldn't roll windows didn't want cars think poor|1|2
9:13 PM - 28 Nov 2015|hot bc driving desert Porky's mom said couldn't turn AC car cost much|1|4
9:11 PM - 28 Nov 2015|There episode movie Looney Tune Babies Daffy Duck Baby took road trip Porky Pig Baby's family|1|3
6:28 AM - 28 Nov 2015|poor location choice turn sand castle sand hassle washed away right choice lead becoming beach royalty|365|911
8:16 AM - 27 Nov 2015|easiest way win chess drop grenade board pieces pieces chess dust|495|884
10:24 PM - 25 Nov 2015|comes music listen can't go wrong Various Artists|812|1.4K
1:58 PM - 23 Nov 2015|@mountain_goats hey john here's friend best impression Peter talent show http youtu RF6q12Wmiqs|4|87
8:53 PM - 20 Nov 2015|The day insecure middle-aged alpha-males stop calling 'boss' 'chief' day sun explodes|3|5
5:25 AM - 15 Nov 2015|stop living dream world start living regular nightmare world rest us live|2.9K|2.9K
1:00 PM - 14 Nov 2015|Doctors HATE Him|973|835
