10:06 AM - 30 Nov 2015|I believe the leading causes of alcoholism are holiday dinners with the relatives 
2:25 PM - 21 Nov 2015|Do some paychecks really have a comma on it 
2:23 PM - 21 Nov 2015|I'm not saying i usually run late for things but im scrambling around last minute trying to find fireworks 
2:22 PM - 21 Nov 2015|I don't care how much you jazz up a halftime performance it's tough to look cool carrying a trombone 
7:02 AM - 21 Nov 2015|Going to @BaseballHall of Fame tomorrow Going to bring my little league uniform just in case they have extra room to display it 
8:48 PM - 16 Nov 2015|So has Twitter made you rich and famous yet Didn't think so 
6:31 AM - 21 Nov 2015|I'm going to try and make it a add people on @twitter Saturday Which means I'll have 30 unfollowers by noon 
7:46 AM - 20 Nov 2015|@chadthornsberry loved your set at @SyracuseFB last night Your material had me rolling 
6:52 AM - 20 Nov 2015|Survival shows make me feel stupid Theyre surviving with no food heat or water I throw a fit when the wifi doesn't work in my hotel 
1:56 PM - 19 Nov 2015|Almost time to decorate for Christmas Which means lights music and an annual heated argument about the number of extension cords we own 
4:05 PM - 28 Mar 2015|Am I a good person No But do I try to be better every single day Also no 
10:13 AM - 13 Jul 2013|If I dated a blind girl she would still want to see other people 
2:17 PM - 18 Nov 2015|#IStillFacebookBecause how else will I find out where my 2nd grade teacher went on vacation in 2008 
10:31 AM - 19 Nov 2015|Start tonight @SyracuseFB with the hilarious Dan Grueter Show tonight at 7 30 Come check us out 
3:34 PM - 18 Nov 2015|Going to @BaseballHall of Fame this week I'm very excited Not sure how to act im never excited about anything 
6:10 AM - 2 Jul 2015|Its World UFO Day keep your telescope squeak free and ready for sightings with All-Purpose Lube #BlasterBuzz #aliens pic twitter com y7ZKsKrue6 
9:28 AM - 18 Nov 2015|I think my best way to get a TV credit is to become a judge 
1:30 PM - 17 Nov 2015|If everyone on @Twitter would have your followers follow me I'd really appreciate it That would save me a lot of work 
6:14 PM - 16 Nov 2015|Heard a comic the other night ask a crowd remember when @MTV used to play music Yes I also remember when comics used to write new jokes 
9:41 AM - 15 Nov 2015|Women dont go in public in pajama pants a dirty tshirt when your hair is fixed perfectly you have makeup on Commit one way or another 
8:09 AM - 15 Nov 2015|If only there was someone on @twitter telling me where I could buy followers 
5:55 AM - 15 Nov 2015|I'm going to come up with a 12 days of Christmas parody song Because apparently I'm the only one that hasn't yet 
12:14 PM - 11 Nov 2015|COP License please ME Don't have it No sleep heading to Brooklyn C sees I'm wearing a Beastie Boys T Go you've go a license to ill 
4:14 PM - 14 Nov 2015|I don't understand your logic - me talking to anyone under 30 
5:43 AM - 15 Nov 2015|I don't follow the sport that close but I guess @_HOLLYHOLM is supposed to fight Apollo Creed's son 
6:21 PM - 14 Nov 2015|I sat in a Drive In parking lot for 6 hours before I realized Closed for the Season wasn't the name of a film 
9:11 PM - 13 Nov 2015|I can't believe there are people that tweet this late all the time 
7:41 PM - 13 Nov 2015|The remote wasnt working I took out the batteries replaced the same batteries in the opposite spot and it works I know how Einstein felt 
2:40 PM - 18 Oct 2014|Wife has spotted me tweeting while she is talking to me This does not please her She is currently approaching me She is reaching for my 
5:41 PM - 13 Nov 2015|To everyone that says I still hear your voice even when you're not here Maybe that doesnt mean you're in love it could be you're nuts 
1:50 PM - 13 Nov 2015|Went to Edgar Allan Poe museum today In unrelated story Im selling Poe handwritten documents 1st editions found at yard sale on @Ebay 
6:41 AM - 12 Nov 2015|What would the holidays be like without checking the theater website to see what the movie times are so I can get away from my family 
6:39 AM - 12 Nov 2015|Hey 22 year old wearing the knit cap in 80 degree weather Yes I do get what it's like You're still an idiot 
6:09 PM - 11 Nov 2015|Can I reminisce about the days of old without listening to old time rock and roll 
5:51 AM - 11 Nov 2015|I'm old school enough where I would star your tweets back in the day but I'll be damned if I'm going to heart any of them @twitter 
11:04 PM - 10 Nov 2015|I'm too unfit to start chasing after my dreams 
5:48 AM - 11 Nov 2015|I've figured out that man's definition of voluptuous is vastly different from a woman's 
5:43 AM - 11 Nov 2015|With the fighting over numerous issues I think we need to find one place void of controversy and relax Maybe a cup of coffee @Starbucks 
9:21 AM - 10 Nov 2015|Really disappointed when I heard guys at a restaurant talking about a strike force and they didn't mean wrestling @WWE 
9:17 AM - 10 Nov 2015|I like two know that I to can misuse the word too 
9:14 AM - 10 Nov 2015|I would never buy used sweats I'm not buying anything that is preowned and a verb for a bodily function 
9:11 AM - 10 Nov 2015|I only have about 12 friends in real life and took me 40 years Why did I think I'd be good on @twitter 
8:00 AM - 9 Nov 2015|If you sincerely believe that when people say Merry Christmas they are infringing on your religious freedom you really need a hobby 
7:57 AM - 9 Nov 2015|If you are sincerely mad about @Starbucks for what they are putting on their cups you really need a hobby 
7:56 AM - 9 Nov 2015|Some people mad about happy holidays Others mad about merry Christmas We should join and fight the real war which is @Walmart toy isle 
6:13 AM - 7 Nov 2015|Your opinions are so stupid that when you give me your two cents worth I feel like I'm getting ripped off 
6:09 AM - 7 Nov 2015|Bag of @Fritolay bbq corn chips and a @lawandorder marathon It's hard being high maintenance 
10:23 AM - 6 Nov 2015|2 shows tonight @FunnyBoneRVA with the hilarious @GregWarren Come check us out 
7:01 AM - 6 Nov 2015|I'm not paying attention to your opinion on politics of your previous tweet was a picture of you and what you're about to eat 
8:42 PM - 5 Nov 2015|If the hot woman in the bikini can't make me go buy a cheeseburger Matthew Mcconaughey has no chance of selling me a car 
2:30 PM - 5 Nov 2015|If you order your pizza from your watch or twitter you probably need to worry about your diet 
2:27 PM - 5 Nov 2015|Never get in a car with a stranger Never meet someone that you talk to on the internet Unless it's @Uber and you can do both at once 
8:20 PM - 28 Oct 2015|Stores shouldn't be allowed to display Halloween thanksgiving and Christmas decorations at the same time 
8:43 PM - 27 Oct 2015|Bought a magnifying glass Woman at the counter asked if needed anything else I said yes A trench coat and a crime to solve 
9:50 AM - 24 Oct 2015|I'm always excited to get new followers Then they have to go screw it up by actually tweeting something 
9:47 AM - 24 Oct 2015|I wish I had your job Said by everybody to someone else 
8:44 AM - 6 Oct 2015|You're not allowed to say long story short after talking for 30 minutes 
10:20 AM - 23 Oct 2015|Tucson AZ I'm headlining @LaffsComedyCafe this weekend Working with the very funny @chadthornsberry Come see a show Thanks 
7:00 AM - 20 Oct 2015|I booked my own show for Dec 18th which is the opening day for the new Star Wars movie I'm also going to book a show for Christmas morning 
11:47 PM - 19 Oct 2015|There are videos of people popping pimples on YouTube I thought I'd be dead long before society hit absolute rock bottom Apparently not 
10:25 PM - 19 Oct 2015|I think I'm really going to start exercising and eating better ok that thought is over Let's order pizza 
11:38 AM - 19 Oct 2015|I have many book lovers and fitness people following me Who told them I'm a reader an exerciser They have very poor information 
9:43 AM - 18 Oct 2015|I never thought id see the day when Peyton Manning looks more comfortable in Papa Johns commercials than he does playing quarterback 
10:37 AM - 17 Oct 2015|It seems like everyone in professional sports should hire an optimist Because they are always talking about staying focused 
3:50 PM - 16 Oct 2015|Harvard was going to pay for my tuition But I missed the half court shot 
6:16 AM - 16 Oct 2015|2 shows tonight @laff2nite Comic Strip in El Paso Come check it out Great room 
5:09 PM - 15 Oct 2015|Hey Joe Buck @Buck I'm just wondering how anti @Royals you're going to be this year just so I can prepare myself 
12:56 PM - 13 Oct 2015|The vending machine has Country Time Lemonade in a can Which are 2 things I had forgotten about 
6:49 AM - 12 Oct 2015|You can break any window you want and make it seem like an accident as long as you carry a bat and baseball with you 
12:51 PM - 13 Oct 2015|What's the chances that when you're sleeping on the ground floor at a hotel that they will start mowing at 6am In my experience about 94 
11:42 AM - 13 Oct 2015|I like being the guy that all the good people shouldn't be friends with 
11:12 AM - 13 Oct 2015|If you have kids and still call your cats dogs children you should reassess your parenting outlook 
11:07 AM - 13 Oct 2015|Call me closed minded but if your name is saffron I'm probably not going to trust you about anything 
10:57 AM - 13 Oct 2015|Alone in my hotel room with my mistress I miss her when she's not around but she always comes back Hello again @lawandorder marathon 
10:48 AM - 13 Oct 2015|Oh so I go down the wrong way of a one way street and all of a sudden I'm the idiot Yeah that sounds right 
10:37 AM - 13 Oct 2015|There is a word for men that are initially attracted by a woman's smile The scientific term is called Liars 
