7:27 AM - 11 Nov 2015|Daredevils are those who ride their bikes on colony streets on a Diwali night 
8:54 AM - 11 Nov 2015|It was Diwali for Sita every night that Ram came 
4:20 PM - 18 Sep 2015|Joe s code has 20 bugs If Joe fixes 2 bugs per hour for 8 hours how many bugs does Joe s code have now Answer 27 
7:06 PM - 2 Mar 2014|If only Bradley's arm was longer Best photo ever #oscars pic twitter com C9U5NOtGap 
12:00 AM - 18 Jun 2015|People may not notice your perfume but if you open a packet of orange cream biscuits people from neighbouring countries will find out 
10:53 AM - 1 Jun 2015|RT if you haven't seen a single season of Game of Thrones 
2:56 AM - 26 May 2015|How agile usually works out in real life pic twitter com u94veFKHJc 
11:17 AM - 24 May 2015|I'm sad that IPL is over Now these guys will start their Modi Kejriwal chutiyapa again 
9:11 AM - 8 May 2015|Love and Lyad will find a way 
6:01 AM - 4 May 2015|What Bengal thinks today shall be eaten by Bengal tomorrow 
7:31 PM - 25 Mar 2015|World Cup 2015 for me - Past perfect Simple future Present tense #INDvsAUS 
6:34 AM - 3 Dec 2012|Girls want more from the same guy Guys want the same from more girls 
3:04 AM - 2 Mar 2015|The ones who talk about letting go haven't really loved anyone 
10:12 AM - 4 Mar 2015|You realise you're back home when you open the fridge at night and find papita instead of a beer 
2:14 AM - 4 Mar 2015|Look Up Housing's journey begins now Here's the story of how we reached where we are today #MeetTheNewHousing https amp twimg com v d4081736-b481-4adb-a806-ca7c10e04dc9 
8:21 PM - 20 Feb 2015|The Monty Hall problem is unintuitive and a perfect example of don't guess write a program to simulate it http priceonomics com the-time-everyone-corrected-the-worlds-smartest 
4:54 AM - 20 Feb 2015|Your password is now sleeping with someone else's password 
5:59 AM - 18 Feb 2015|The term web developer has now been stretched to include those who run a Facebook page 
8:42 AM - 18 Feb 2015|The department has sad female ratio so the office parties are a sad reminder of hostel parties 
7:35 PM - 17 Feb 2015|Buses moving so close that you can read WhatsApp conversations of people in the next bus D @TrafflineCHN 
5:40 PM - 16 Feb 2015|The snow is falling fast and furious As a great poet once said This wet weather is conducive to love pic twitter com Zqar6u1KZR 
10:25 AM - 13 Feb 2015|They moved closer looked into each other's eyes took deep halting breaths and started reciting Rabindranath #BengaliValentineMoment 
6:08 PM - 12 Feb 2015|A good start to the day Feeling happy 
8:25 AM - 7 Feb 2015|Anti-gay preacher comes to Iceland Locals buy all tickets to his event in Reykjavik and then don't turn up leaving empty arena Class 
4:32 AM - 6 Feb 2015|I just joined SquadRun -the app that pays you to play http www squadrun co http squadrun co 
10:44 PM - 30 Jan 2015|There is something called Thai Chicken Biryani 
3:45 AM - 17 Jan 2015|Tung Fong makes some killer drumsticks @ Tung Fong http instagram com p x9DA04jocV 
1:08 PM - 12 Jan 2015|You broke my heart Now there is cholesterol and fatty acid deposits all over the Persian carpet 
9:03 AM - 11 Jan 2015|Two years today since we lost @aaronsw 
12:32 PM - 27 Dec 2014|Handling constructive criticism pic twitter com 9kX7X2U3R3 
8:27 AM - 8 Jan 2015|Sometimes you need to question yourself is this what I grew up to be 
12:50 AM - 2 Jan 2015|Discuss pic twitter com iG2NRKqCI5 
12:54 AM - 2 Jan 2015|Park Circus Arsalan #KolkataMotives 
12:52 AM - 2 Jan 2015|Victoria Terminal Garden of Love Along with a Marble Building and a Museum to distract the detractors #KolkataMotives 
12:53 AM - 2 Jan 2015|Calcutta Coffee House Platform for Intellectual display of your Smoking skills #KolkataMotives 
8:36 AM - 1 Jan 2015|Hi to all beef burgers 
4:07 AM - 1 Jan 2015|idk man I still think FOSLA is the best abbreviation an organization could have 
10:16 PM - 31 Dec 2014|2015 A new year to commit more mistakes 
9:53 AM - 22 Sep 2014|I'm so Gujarati that even if there's a really pretty girl with me in the rickshaw I cannot take my eyes away from the meter 
4:31 PM - 30 Dec 2014|#2014faves RT @shanselman I die inside a little when I see someone use tabs and spaces to center something in Word 
2:34 AM - 14 Jun 2014|A father is one who waits for your call every day but always says 'Kabhi kabhi call kiya karo tumhari mummy bahut yaad karti hai tumhe ' 
3:31 AM - 29 Dec 2014|Interestingly Organizations such as Ram Krishna Mission doesn't represent Hindu Religion Organizations such as VHP does 
9:25 AM - 27 Dec 2014|Guys RT if you are drunk Fav if you are drunk Wait why are you on twitter if you are drunk 
7:52 AM - 24 Dec 2014|@TheHumerus the Bengali Santa is always ami Ruby cross korchi dada 
8:11 PM - 23 Dec 2014|Moving on with life one heartache at a time 
10:34 PM - 5 Dec 2014|A moment of silence for those working on a Saturday 
7:17 AM - 3 Dec 2014|Countdown to 10 day leave from work is better than countdown to birthdays or new years 
4:29 PM - 21 Nov 2014|Texts between my little brother and his gf pic twitter com 5sQ6slORRR 
5:17 AM - 23 Nov 2014|The best and the most complex relationships start with that First Facebook Like 
2:07 AM - 21 Nov 2014|We need more dark skinned people in media We need them so that little boys and girls don't buy into the lie that their dark skin is ugly 
8:52 AM - 17 Nov 2014|HNY script being sent to the Oscars Science have made such progress--we are being able to send stuff that doesn't even exist in reality 
7:50 AM - 16 Nov 2014|Punching any one who says veg Biryani 
12:18 PM - 16 Nov 2014|Google does a number on us all with our movie habit stats http imgur com a O7j2P 
11:40 AM - 3 Nov 2014|Hello ladies http twitter com LearnSomethlng status 522618537546752000 photo 1pic twitter com zqYaFmQAHV 
7:03 AM - 2 Nov 2014|i click pictures with my gf so that years later when i'm married to her i can look back in time and laugh at that fucking idiot in photos 
10:11 AM - 27 Oct 2014|Hey Christopher we can't connect Hell why No LAN 
8:08 AM - 27 Oct 2014|Diwali 2014 Fireworks at Powai-Mumbai these are 100 long exposures composited together @WeAreMumbai @powaiinfo pic twitter com hGTH6lSWde 
9:15 AM - 20 Oct 2014|Finally new ac buses in #calcutta with provision 4 differently abled next ramps in public spaces attitude change pic twitter com uxVl7MAhOS 
8:36 PM - 19 Oct 2014|more Americans have been married to Kim Kardashian than have died from Ebola Now I'm terrified of contracting a Kim Kardashian marriage 
8:54 AM - 2 Oct 2014|Drop custard on her boobies 
8:17 AM - 30 Sep 2014|All thinking men are single All single men are thinking what to do over the long weekend 
8:35 PM - 31 Jul 2014|Anyone knows how to factory reset a relationship 
1:27 AM - 23 Sep 2014|according to feng shui which is the best room to hang yourself to death in 
2:25 AM - 25 Sep 2014|Ved Pratap Vaidik was already there on Mars to welcome Mangalyaan ISRO http www fakingnews firstpost com 2014 09 ved-pratap-vaidik-and-rajiv-shukla-were-already-there-on-mars-to-welcome-mangalyaan-isro #MissionMars pic twitter com DuLDK7q95k 
3:25 PM - 23 Sep 2014|Still haven't reached home from office 
11:50 AM - 16 Sep 2014|New phone Great job Motorola 
11:12 PM - 1 Aug 2014|The Book of Jobs moved me It got me a new job 
3:41 PM - 27 Jul 2014|'this harry potter fucker gives a bad name to all of us orphans' - batman 
11:47 PM - 24 Jul 2014|i am starting to like this onam festival because that's the only one left which shahrukh and salman are not fucking up by releasing a movie 
1:29 AM - 19 Jun 2014|For god's sake Please inform your Dad and tell him Facebook is down all over before he starts breaking chairs at the BSNL broadband office 
1:26 AM - 19 Jun 2014|Pune calling 
4:19 AM - 17 Jun 2014|You know people are moving out of your lives when you have to scroll down in your whatsapp chat list to find their name 
11:04 PM - 16 Jun 2014|Just completed 100 push-ups in 3 years 
11:01 AM - 14 Jun 2014|Remember when you bought a video game actually owned it enjoyed a singleplayer story didn't require internet coins gems or more money 
1:56 AM - 13 Jun 2014|Go @CBF_Futebol #WorldCup Who are you supporting https twitter com i t worldcup 
5:12 AM - 12 Jun 2014|Indians find Twitter complex to use Survey http ibnlive in com news indians-find-twitter-complex-to-use-survey 478608-11 html 
7:45 AM - 11 Jun 2014|Sexy weather A Smoke on the terrace #bliss 
12:44 PM - 8 Jun 2014|Real people dying because of imaginary gods 
6:00 AM - 9 Jun 2014|One of the most underrated pleasures are a big screen and old school keyboard 
6:44 AM - 9 Jun 2014|Bucking Fored 
4:26 PM - 5 Jun 2014|slow clap pic twitter com l1FnrLofs3 
2:19 PM - 7 Jun 2014|Want your code fixed for free Post it on HN as a cool way to do x you ll have 50 people correct it for you in a matter of minutes 
12:57 AM - 3 Jun 2014|Love thigh of your neighbor 
12:42 PM - 2 Jun 2014|Now looking for software engineers with 3-5 years of experience with original jokes 
11:03 AM - 1 Jun 2014|Kolkata wins a brilliant match Piyush Chawla hits winning runs then breaks his own personal fastest running speed by approximately 400 
11:03 AM - 1 Jun 2014|Man of the match award for Preity Zinta's make up artist 
9:30 AM - 1 Jun 2014|If this match is Kal Ho Na Ho Saha is the Saif Ali khan 
8:54 AM - 1 Jun 2014|I really need to study now 
10:43 AM - 31 May 2014|The best way to store coaxial cable ever Awesome @JayBilas pic twitter com oE6t3dI15T Emancipate Your Coaxial #Marley 
10:22 PM - 31 May 2014|If you read Times of India under a tree you can literally hear the tree saying My brothers and sisters died for this shit 
8:41 PM - 31 May 2014|Why is there no outrage and candle night vigils in our cities for the 2 Dalit girls of UP #shame @BDUTT @sagarikaghose @meenakandasamy 
11:57 PM - 31 May 2014|A normal family is a myth perpetuated by TV shows and movies to make you feel bad for hating your relatives 
5:44 PM - 30 May 2014|Eternal Sunshine of the Spotless Mind pic twitter com L3uNLgKv6D 
8:28 PM - 30 May 2014|Forget Irani Gopinath Munde's case is even more serious or hilarious degree in 1976 from a college which opened in 1978 HAHAHAHA 
3:49 AM - 30 May 2014|Twitter is better with friends What's next Goa is best with family 
10:05 AM - 29 May 2014|Achievement unlocked commit code to Chromium while on a plane This nerd is a happy nerd 
10:29 AM - 29 May 2014|goopi gyne bagha byne SO MUCH AWESOMENESS D Only bongs will get this 
10:32 AM - 29 May 2014|if Emma Watson graduated from brown university while simultaneously filming 5 major Hollywood films u can make it thru today 
10:41 PM - 26 May 2014|Biscuit packets should mention the number of dips a biscuit can tolerate before shamelessly falling in the tea 
12:30 AM - 27 May 2014|Sources to be made the Information Broadcasting minister 
7:41 AM - 25 May 2014|Define 'poles' Expensive cologne above and stinky socks below 
1:40 PM - 22 May 2014|I think it's cute how people tag their significant other as partner in crime in cheesy facebook posts Yes The crime of being annoying 
4:03 AM - 18 May 2014|Our censor board is run by retards pic twitter com aWcaClhQUb 
7:31 AM - 16 May 2014|284 seats for BJP Was it due to anti-incumbency No Okay Modi wave No Arey then what was the reason This pic twitter com 2vYg7kaO4v 
1:43 AM - 16 May 2014|Skeptical of the change Last time proved to be dangerous 
9:54 PM - 15 May 2014|There are more seats in a Tata Nano than the number of seats won by AAP 
1:06 AM - 16 May 2014|Kumar Vishwas should go back to crooning Koi diwana kehta hai to frustrated Engnn colg students 
11:32 PM - 15 May 2014|Modi pehle aise PM honge jinki maa hai Jeevit hai - Some guy on AajTak That is some next level political analysis for you 
11:44 PM - 15 May 2014|Modi is going to meet his mother now I am sure she will be happy but then ask him why only 50 votes when you could have got 90 
12:00 AM - 16 May 2014|The aerial view of a Times Now psephologist 
12:10 AM - 16 May 2014|Psephologist means man with balding pattern shaped like the Vodafone logo right 
12:16 AM - 16 May 2014|Arun Jaitley must be feeling like the vegetarian friend when the group goes to eat in KFC 
10:11 AM - 29 Jul 2013|Please save this tweet Congress will be the single largest party in 2014 and will lead a coalition comfortably above the majority 
4:47 AM - 15 May 2014|Tomorrow by this time we shall all be experiencing extreme anguish frustration and hopelessness Yes It's a dry day 
11:21 AM - 13 May 2014|I dont laugh on jokes anymore Even in real life I tell people how many RTs they can get for it 
6:25 AM - 12 May 2014|Not one channel has asked me for my views on these elections So high chance that I may have been wrong when I said I was a political pundit 
10:57 AM - 12 May 2014|These polls have fairly and squarely convinced Arvind Kejriwal that IIT without IIM is nothing 
8:30 AM - 12 May 2014|What's the point of exit polls In school whenever my parents asked me Exam kaisa hua I always used to say Acha hua Then I failed 
11:48 AM - 11 May 2014|If we could stop using hover to reveal key actions on touchscreens that d be great 
1:11 PM - 11 May 2014|Looks like my facebook took a break from World Honeymoon day to post pictures of thr Mom 
1:41 AM - 7 May 2014|No one tells you about the formalities of boarding a plane better than a guy who has travelled only once 
9:41 AM - 29 Apr 2014|#IfSunnyLeoneWasIn Youngistan the movie would have been named 'Nangistan' 
10:25 AM - 14 Apr 2014|I don't care if you're a vegetarian as long as you don't order a Pizza with a pineapple topping 
11:35 AM - 14 Apr 2014|Chetan Bhagat bibliography I had sex in IIT I had sex in IIM I had sex during Godhra Call centre sex Hi guys Sex 
11:41 AM - 14 Apr 2014|According to the recent NDTV poll I am Batman 
11:49 AM - 14 Apr 2014|If Bollywood continues making films on National bestselling books soon there will be a movie on RD Sharma RS Agarwal HC Verma 
9:27 PM - 11 Apr 2014|Thanks to 3D printing these memes can come to life http on mash to 1oULMiR pic twitter com xcGjVbrVSk 
12:18 PM - 11 Apr 2014|I scored 23884 points at 2048 a game where you join numbers to score high #2048game http git io 2048 via @gabrielecirulli 
9:18 AM - 11 Apr 2014|I scored 20324 points at 2048 a game where you join numbers to score high #2048game http git io 2048 via @gabrielecirulli 
8:48 PM - 2 Apr 2014|One of the biggest problems that money creates is you never know whether you are loved or your money is being Respected 
1:01 PM - 1 Apr 2014|2048 As A Service https github com Semantics3 2048-as-a-service 
12:23 AM - 31 Mar 2014|Hridoy The Bengali word for Achilles' Heel 
8:02 AM - 8 Aug 2012|The traffic light on the other side is always greener 
8:07 AM - 26 Mar 2014|My pencil went missing momentarily and I assumed it had been acquired by Facebook This is the world we live in now 
9:01 AM - 26 Mar 2014|Now reading Congress' party manifesto There s nothing about keeping bars open till 3 AM 
6:31 PM - 23 Mar 2014|Physics @StackExchange http physics stackexchange com a 5510 16 is cited in this #xkcd what if Huh http what-if xkcd com 71 
12:02 AM - 16 Mar 2014|If you can't afford paying for 3g please don't buy those chappal size phones 
4:53 AM - 16 Mar 2014|Dude Indians don't score weed Hum log weed ka jugaad karte hain 
3:25 AM - 16 Mar 2014|Kenny G has been trapped in the lift since the time they started playing Elevator music 
11:38 AM - 9 Mar 2014|You should not say these things about an AAP CM in Pakistan - CM shot to fame CM survived the vote CM blasted his opponents 
12:17 PM - 9 Mar 2014|Saw a 5 yr old grooving to Chaar Bottle Vodka When I was 5 yrs old i used to groove to Tann ki Shakti Mann ki Shakti bournvita 
10:35 AM - 6 Mar 2014|I see people support Kejriwal because he is from IIT Because that is the unfortunate benchmark to be a gamechanger in India 
1:01 AM - 5 Mar 2014|There are more Ravindra Jadeja parody accounts on Twitter than actual matches that he has played 
9:00 AM - 3 Mar 2014|The One Where Ross visits his in-laws Sasural Schwimmer ka 
8:51 AM - 28 Feb 2014|Your wallet is supposed to carry your money Curiously it often carries your ego instead 
6:17 AM - 26 Feb 2014|People on Facebook are talking about politics This is serious 
11:35 PM - 25 Feb 2014|One girl posted on Facebook What actually distroys a relationships My first guess is Grammar 
12:22 AM - 26 Feb 2014|Rahul Gandhi's contribution to Politics is the same as @kamaalrkhan 's contribution to Indian Cinema #nonsense 
9:04 PM - 20 Feb 2014|Board exams are here again No matter what you score you will spend the next 4 yrs playing counterstrike in engineering hostels 
